Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       8.33,     8.05,     4.92,     8.45,    11.90
        1.0,      14.55,    14.33,    11.03,    14.48,    18.36
        2.0,      19.21,    19.29,    15.49,    18.75,    23.32
        3.0,      22.97,    23.40,    19.19,    22.08,    27.22
        4.0,      25.87,    26.68,    22.15,    24.54,    30.10
        5.0,      27.92,    29.13,    24.37,    26.19,    32.00
        6.0,      29.20,    30.83,    25.84,    27.09,    33.04
        7.0,      29.82,    31.86,    26.64,    27.37,    33.38
        8.0,      29.91,    32.39,    26.86,    27.19,    33.21
        9.0,      29.64,    32.54,    26.64,    26.69,    32.71
       10.0,      29.16,    32.48,    26.11,    26.01,    32.03
       11.0,      28.58,    32.32,    25.43,    25.27,    31.31
       12.0,      27.98,    32.13,    24.68,    24.53,    30.59
       13.0,      27.41,    31.94,    23.96,    23.82,    29.91
       14.0,      26.87,    31.78,    23.28,    23.16,    29.27
       15.0,      26.36,    31.62,    22.65,    22.52,    28.65
       16.0,      25.87,    31.46,    22.06,    21.92,    28.05
       17.0,      25.40,    31.30,    21.49,    21.33,    27.48
       18.0,      24.94,    31.15,    20.94,    20.77,    26.92
       19.0,      24.51,    31.00,    20.41,    20.23,    26.39
       20.0,      24.08,    30.84,    19.90,    19.71,    25.87
       21.0,      23.67,    30.69,    19.41,    19.21,    25.38
       22.0,      23.28,    30.54,    18.94,    18.73,    24.90
       23.0,      22.90,    30.39,    18.49,    18.27,    24.44
       24.0,      22.53,    30.24,    18.05,    17.82,    23.99
       25.0,      22.17,    30.10,    17.63,    17.40,    23.57
       26.0,      21.83,    29.95,    17.23,    16.99,    23.15
       27.0,      21.50,    29.80,    16.84,    16.59,    22.76
       28.0,      21.18,    29.66,    16.46,    16.21,    22.37
       29.0,      20.87,    29.52,    16.10,    15.85,    22.00
       30.0,      20.57,    29.37,    15.75,    15.50,    21.65
       31.0,      20.28,    29.23,    15.42,    15.16,    21.30
       32.0,      20.00,    29.09,    15.09,    14.84,    20.97
       33.0,      19.73,    28.95,    14.78,    14.52,    20.65
       34.0,      19.47,    28.81,    14.48,    14.22,    20.35
       35.0,      19.21,    28.68,    14.19,    13.93,    20.05
       36.0,      18.97,    28.54,    13.91,    13.66,    19.76
       37.0,      18.73,    28.40,    13.64,    13.39,    19.49
       38.0,      18.50,    28.27,    13.39,    13.13,    19.22
       39.0,      18.28,    28.14,    13.14,    12.89,    18.97
       40.0,      18.07,    28.00,    12.89,    12.65,    18.72
       41.0,      17.86,    27.87,    12.66,    12.42,    18.48
       42.0,      17.66,    27.74,    12.44,    12.20,    18.25
       43.0,      17.46,    27.61,    12.22,    11.99,    18.03
       44.0,      17.27,    27.48,    12.01,    11.79,    17.81
       45.0,      17.09,    27.35,    11.81,    11.59,    17.61
       46.0,      16.91,    27.22,    11.62,    11.40,    17.41
       47.0,      16.74,    27.10,    11.43,    11.22,    17.21
       48.0,      16.57,    26.97,    11.25,    11.05,    17.03
       49.0,      16.41,    26.84,    11.07,    10.88,    16.85
       50.0,      16.25,    26.72,    10.90,    10.72,    16.68
       51.0,      16.10,    26.60,    10.74,    10.56,    16.51
       52.0,      15.95,    26.47,    10.58,    10.41,    16.35
       53.0,      15.81,    26.35,    10.43,    10.27,    16.19
       54.0,      15.67,    26.23,    10.28,    10.13,    16.04
       55.0,      15.53,    26.11,    10.14,     9.99,    15.89
       56.0,      15.40,    25.99,    10.00,     9.87,    15.75
       57.0,      15.28,    25.87,     9.87,     9.74,    15.62
       58.0,      15.15,    25.75,     9.74,     9.62,    15.49
       59.0,      15.03,    25.63,     9.62,     9.51,    15.36
       60.0,      14.91,    25.52,     9.50,     9.40,    15.24
       61.0,      14.80,    25.40,     9.38,     9.29,    15.12
       62.0,      14.69,    25.29,     9.27,     9.19,    15.00
       63.0,      14.58,    25.17,     9.16,     9.09,    14.89
       64.0,      14.47,    25.06,     9.05,     8.99,    14.79
       65.0,      14.37,    24.94,     8.95,     8.90,    14.68
       66.0,      14.27,    24.83,     8.85,     8.81,    14.58
       67.0,      14.17,    24.72,     8.76,     8.73,    14.49
       68.0,      14.08,    24.61,     8.66,     8.64,    14.39
       69.0,      13.98,    24.50,     8.57,     8.57,    14.30
       70.0,      13.89,    24.39,     8.48,     8.49,    14.21
       71.0,      13.80,    24.28,     8.40,     8.41,    14.13
       72.0,      13.72,    24.17,     8.32,     8.34,    14.05
