Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.38,     1.38,     1.23,     1.33,     1.59
        2.0,       2.23,     2.24,     2.08,     2.19,     2.42
        3.0,       2.96,     2.97,     2.83,     2.94,     3.09
        4.0,       3.61,     3.64,     3.52,     3.61,     3.68
        5.0,       4.22,     4.26,     4.17,     4.24,     4.21
        6.0,       4.79,     4.84,     4.78,     4.83,     4.70
        7.0,       5.33,     5.39,     5.38,     5.39,     5.16
        8.0,       5.85,     5.92,     5.95,     5.94,     5.59
        9.0,       6.35,     6.43,     6.50,     6.46,     6.00
       10.0,       6.83,     6.92,     7.04,     6.97,     6.40
       11.0,       7.30,     7.40,     7.56,     7.46,     6.77
       12.0,       7.76,     7.87,     8.08,     7.94,     7.14
       13.0,       8.20,     8.32,     8.58,     8.41,     7.49
       14.0,       8.64,     8.77,     9.08,     8.87,     7.84
       15.0,       9.07,     9.20,     9.56,     9.32,     8.17
       16.0,       9.48,     9.63,    10.04,     9.77,     8.50
       17.0,       9.89,    10.05,    10.51,    10.20,     8.81
       18.0,      10.30,    10.46,    10.98,    10.63,     9.12
       19.0,      10.69,    10.86,    11.44,    11.05,     9.43
       20.0,      11.08,    11.26,    11.89,    11.46,     9.72
       21.0,      11.47,    11.65,    12.33,    11.87,    10.01
       22.0,      11.85,    12.04,    12.78,    12.28,    10.30
       23.0,      12.22,    12.42,    13.21,    12.67,    10.58
       24.0,      12.59,    12.80,    13.64,    13.07,    10.85
       25.0,      12.96,    13.17,    14.07,    13.46,    11.13
       26.0,      13.32,    13.54,    14.50,    13.84,    11.39
       27.0,      13.67,    13.90,    14.91,    14.22,    11.65
       28.0,      14.03,    14.26,    15.33,    14.60,    11.91
       29.0,      14.37,    14.62,    15.74,    14.97,    12.17
       30.0,      14.72,    14.97,    16.15,    15.34,    12.42
       31.0,      15.06,    15.32,    16.56,    15.70,    12.67
       32.0,      15.40,    15.66,    16.96,    16.07,    12.91
       33.0,      15.74,    16.00,    17.36,    16.42,    13.16
       34.0,      16.07,    16.34,    17.75,    16.78,    13.40
       35.0,      16.40,    16.68,    18.15,    17.13,    13.63
       36.0,      16.72,    17.01,    18.54,    17.48,    13.87
       37.0,      17.05,    17.34,    18.93,    17.83,    14.10
       38.0,      17.37,    17.67,    19.31,    18.18,    14.33
       39.0,      17.69,    17.99,    19.69,    18.52,    14.55
       40.0,      18.01,    18.32,    20.08,    18.86,    14.78
       41.0,      18.32,    18.64,    20.45,    19.19,    15.00
       42.0,      18.63,    18.95,    20.83,    19.53,    15.22
       43.0,      18.94,    19.27,    21.20,    19.86,    15.44
       44.0,      19.25,    19.58,    21.58,    20.19,    15.65
       45.0,      19.56,    19.90,    21.95,    20.52,    15.87
       46.0,      19.86,    20.20,    22.31,    20.85,    16.08
       47.0,      20.16,    20.51,    22.68,    21.17,    16.29
       48.0,      20.46,    20.82,    23.04,    21.49,    16.50
       49.0,      20.76,    21.12,    23.40,    21.82,    16.71
       50.0,      21.06,    21.42,    23.76,    22.13,    16.91
       51.0,      21.35,    21.72,    24.12,    22.45,    17.11
       52.0,      21.65,    22.02,    24.48,    22.77,    17.32
       53.0,      21.94,    22.32,    24.83,    23.08,    17.52
       54.0,      22.23,    22.61,    25.19,    23.39,    17.72
       55.0,      22.51,    22.90,    25.54,    23.70,    17.91
       56.0,      22.80,    23.20,    25.89,    24.01,    18.11
       57.0,      23.09,    23.49,    26.24,    24.32,    18.30
       58.0,      23.37,    23.77,    26.59,    24.62,    18.50
       59.0,      23.65,    24.06,    26.93,    24.93,    18.69
       60.0,      23.94,    24.35,    27.28,    25.24,    18.88
       61.0,      24.23,    24.64,    27.65,    25.57,    19.07
       62.0,      24.55,    24.95,    28.06,    25.94,    19.26
       63.0,      24.91,    25.27,    28.53,    26.37,    19.45
       64.0,      25.30,    25.62,    29.06,    26.86,    19.65
       65.0,      25.73,    25.99,    29.64,    27.41,    19.87
       66.0,      26.18,    26.38,    30.25,    27.97,    20.10
       67.0,      26.62,    26.76,    30.86,    28.53,    20.34
       68.0,      27.04,    27.13,    31.42,    29.03,    20.59
       69.0,      27.40,    27.46,    31.88,    29.44,    20.84
       70.0,      27.68,    27.74,    32.21,    29.71,    21.06
       71.0,      27.86,    27.96,    32.39,    29.84,    21.24
       72.0,      27.93,    28.12,    32.41,    29.82,    21.37
       73.0,      27.89,    28.20,    32.28,    29.66,    21.44
       74.0,      27.77,    28.23,    32.01,    29.38,    21.45
       75.0,      27.57,    28.21,    31.66,    29.02,    21.40
       76.0,      27.32,    28.16,    31.24,    28.60,    21.30
       77.0,      27.06,    28.09,    30.80,    28.17,    21.17
       78.0,      26.78,    28.01,    30.35,    27.74,    21.01
       79.0,      26.51,    27.94,    29.92,    27.34,    20.85
       80.0,      26.26,    27.87,    29.51,    26.96,    20.69
       81.0,      26.02,    27.80,    29.12,    26.60,    20.55
       82.0,      25.79,    27.74,    28.75,    26.25,    20.41
       83.0,      25.57,    27.68,    28.39,    25.93,    20.28
       84.0,      25.35,    27.62,    28.03,    25.61,    20.16
       85.0,      25.15,    27.56,    27.69,    25.30,    20.04
       86.0,      24.94,    27.50,    27.35,    25.01,    19.92
       87.0,      24.75,    27.44,    27.02,    24.72,    19.81
       88.0,      24.56,    27.38,    26.70,    24.45,    19.69
       89.0,      24.37,    27.32,    26.39,    24.19,    19.58
       90.0,      24.19,    27.26,    26.08,    23.93,    19.47
       91.0,      24.01,    27.20,    25.79,    23.69,    19.36
       92.0,      23.84,    27.14,    25.50,    23.45,    19.25
       93.0,      23.67,    27.08,    25.22,    23.22,    19.14
       94.0,      23.50,    27.02,    24.94,    23.00,    19.04
       95.0,      23.34,    26.97,    24.67,    22.79,    18.94
       96.0,      23.18,    26.91,    24.41,    22.59,    18.83
       97.0,      23.03,    26.85,    24.16,    22.39,    18.73
       98.0,      22.88,    26.79,    23.91,    22.20,    18.63
       99.0,      22.74,    26.73,    23.66,    22.01,    18.53
      100.0,      22.59,    26.67,    23.43,    21.84,    18.43
      101.0,      22.45,    26.62,    23.20,    21.67,    18.34
      102.0,      22.32,    26.56,    22.97,    21.50,    18.24
      103.0,      22.18,    26.50,    22.75,    21.34,    18.14
      104.0,      22.05,    26.44,    22.54,    21.19,    18.05
      105.0,      21.93,    26.38,    22.33,    21.04,    17.96
      106.0,      21.80,    26.33,    22.13,    20.89,    17.86
      107.0,      21.68,    26.27,    21.93,    20.75,    17.77
      108.0,      21.56,    26.21,    21.74,    20.62,    17.68
      109.0,      21.45,    26.16,    21.55,    20.49,    17.59
      110.0,      21.33,    26.10,    21.36,    20.36,    17.50
      111.0,      21.22,    26.04,    21.18,    20.24,    17.42
      112.0,      21.11,    25.99,    21.01,    20.12,    17.33
      113.0,      21.00,    25.93,    20.84,    20.01,    17.24
      114.0,      20.90,    25.87,    20.67,    19.90,    17.16
      115.0,      20.80,    25.82,    20.51,    19.79,    17.07
      116.0,      20.70,    25.76,    20.35,    19.69,    16.99
      117.0,      20.60,    25.70,    20.19,    19.59,    16.91
      118.0,      20.50,    25.65,    20.04,    19.49,    16.82
      119.0,      20.41,    25.59,    19.89,    19.40,    16.74
      120.0,      20.31,    25.54,    19.75,    19.31,    16.66
      121.0,      20.22,    25.48,    19.61,    19.22,    16.58
      122.0,      20.13,    25.43,    19.47,    19.13,    16.50
      123.0,      20.04,    25.37,    19.33,    19.05,    16.42
      124.0,      19.96,    25.32,    19.20,    18.97,    16.34
      125.0,      19.87,    25.26,    19.07,    18.89,    16.26
      126.0,      19.79,    25.21,    18.95,    18.82,    16.19
      127.0,      19.71,    25.15,    18.83,    18.74,    16.11
      128.0,      19.63,    25.10,    18.71,    18.67,    16.03
      129.0,      19.55,    25.04,    18.59,    18.60,    15.96
      130.0,      19.47,    24.99,    18.48,    18.53,    15.88
      131.0,      19.39,    24.94,    18.36,    18.47,    15.81
      132.0,      19.32,    24.88,    18.26,    18.40,    15.73
      133.0,      19.24,    24.83,    18.15,    18.34,    15.66
      134.0,      19.17,    24.77,    18.05,    18.28,    15.58
      135.0,      19.10,    24.72,    17.94,    18.22,    15.51
      136.0,      19.03,    24.67,    17.84,    18.16,    15.44
      137.0,      18.96,    24.61,    17.75,    18.11,    15.37
      138.0,      18.89,    24.56,    17.65,    18.05,    15.30
      139.0,      18.82,    24.51,    17.56,    18.00,    15.23
      140.0,      18.76,    24.45,    17.47,    17.95,    15.16
      141.0,      18.69,    24.40,    17.38,    17.90,    15.08
      142.0,      18.63,    24.35,    17.29,    17.85,    15.02
      143.0,      18.56,    24.30,    17.21,    17.80,    14.95
      144.0,      18.50,    24.24,    17.13,    17.75,    14.88
      145.0,      18.44,    24.19,    17.05,    17.70,    14.81
      146.0,      18.38,    24.14,    16.97,    17.66,    14.74
      147.0,      18.32,    24.09,    16.89,    17.61,    14.67
      148.0,      18.26,    24.04,    16.81,    17.57,    14.61
      149.0,      18.20,    23.98,    16.74,    17.53,    14.54
      150.0,      18.14,    23.93,    16.66,    17.49,    14.47
      151.0,      18.08,    23.88,    16.59,    17.45,    14.41
      152.0,      18.03,    23.83,    16.52,    17.41,    14.34
      153.0,      17.97,    23.78,    16.46,    17.37,    14.28
      154.0,      17.91,    23.73,    16.39,    17.33,    14.21
      155.0,      17.86,    23.67,    16.32,    17.29,    14.15
      156.0,      17.81,    23.62,    16.26,    17.26,    14.08
      157.0,      17.75,    23.57,    16.20,    17.22,    14.02
      158.0,      17.70,    23.52,    16.13,    17.18,    13.96
      159.0,      17.65,    23.47,    16.07,    17.15,    13.89
      160.0,      17.60,    23.42,    16.02,    17.11,    13.83
      161.0,      17.54,    23.37,    15.96,    17.08,    13.77
