Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.00,     2.96,     2.97,     2.97,     3.12
        2.0,       4.87,     4.85,     4.86,     4.85,     4.93
        3.0,       6.47,     6.47,     6.47,     6.47,     6.44
        4.0,       7.90,     7.95,     7.94,     7.94,     7.78
        5.0,       9.24,     9.32,     9.30,     9.31,     9.01
        6.0,      10.49,    10.61,    10.58,    10.60,    10.17
        7.0,      11.68,    11.85,    11.80,    11.82,    11.25
        8.0,      12.82,    13.03,    12.97,    13.00,    12.29
        9.0,      13.92,    14.17,    14.10,    14.14,    13.28
       10.0,      14.99,    15.28,    15.19,    15.23,    14.24
       11.0,      16.02,    16.35,    16.25,    16.30,    15.16
       12.0,      17.02,    17.40,    17.30,    17.35,    16.06
       13.0,      18.02,    18.42,    18.35,    18.38,    16.93
       14.0,      19.03,    19.45,    19.43,    19.45,    17.79
       15.0,      20.09,    20.52,    20.59,    20.58,    18.66
       16.0,      21.21,    21.66,    21.83,    21.80,    19.57
       17.0,      22.42,    22.89,    23.15,    23.10,    20.54
       18.0,      23.69,    24.20,    24.51,    24.47,    21.57
       19.0,      24.99,    25.57,    25.88,    25.86,    22.65
       20.0,      26.27,    26.93,    27.19,    27.21,    23.74
       21.0,      27.47,    28.23,    28.39,    28.46,    24.81
       22.0,      28.53,    29.40,    29.41,    29.55,    25.78
       23.0,      29.41,    30.37,    30.23,    30.42,    26.61
       24.0,      30.06,    31.10,    30.83,    31.06,    27.26
       25.0,      30.48,    31.58,    31.20,    31.45,    27.71
       26.0,      30.69,    31.79,    31.38,    31.62,    27.95
       27.0,      30.70,    31.78,    31.40,    31.60,    28.00
       28.0,      30.56,    31.60,    31.30,    31.45,    27.90
       29.0,      30.33,    31.28,    31.14,    31.21,    27.67
       30.0,      30.04,    30.90,    30.94,    30.93,    27.38
       31.0,      29.73,    30.50,    30.74,    30.64,    27.05
       32.0,      29.44,    30.11,    30.55,    30.36,    26.73
       33.0,      29.16,    29.74,    30.36,    30.10,    26.43
       34.0,      28.90,    29.39,    30.19,    29.86,    26.14
       35.0,      28.65,    29.07,    30.02,    29.62,    25.88
       36.0,      28.41,    28.76,    29.85,    29.40,    25.62
       37.0,      28.17,    28.45,    29.68,    29.18,    25.38
       38.0,      27.95,    28.16,    29.52,    28.96,    25.14
       39.0,      27.72,    27.87,    29.36,    28.76,    24.91
       40.0,      27.51,    27.60,    29.20,    28.55,    24.68
       41.0,      27.30,    27.33,    29.05,    28.36,    24.46
       42.0,      27.09,    27.07,    28.90,    28.17,    24.24
       43.0,      26.90,    26.82,    28.75,    27.98,    24.03
       44.0,      26.70,    26.57,    28.60,    27.81,    23.83
       45.0,      26.51,    26.33,    28.46,    27.63,    23.63
       46.0,      26.33,    26.10,    28.32,    27.46,    23.43
       47.0,      26.15,    25.88,    28.18,    27.30,    23.24
       48.0,      25.97,    25.66,    28.04,    27.14,    23.06
       49.0,      25.80,    25.44,    27.91,    26.98,    22.88
       50.0,      25.63,    25.24,    27.77,    26.83,    22.70
       51.0,      25.47,    25.04,    27.64,    26.68,    22.53
       52.0,      25.31,    24.84,    27.52,    26.54,    22.36
       53.0,      25.16,    24.65,    27.39,    26.40,    22.19
       54.0,      25.00,    24.46,    27.27,    26.26,    22.03
       55.0,      24.86,    24.28,    27.15,    26.13,    21.87
       56.0,      24.71,    24.11,    27.03,    26.00,    21.72
       57.0,      24.57,    23.93,    26.91,    25.87,    21.56
       58.0,      24.43,    23.77,    26.79,    25.74,    21.42
       59.0,      24.29,    23.60,    26.68,    25.62,    21.27
       60.0,      24.16,    23.44,    26.57,    25.50,    21.13
       61.0,      24.03,    23.29,    26.46,    25.39,    20.99
       62.0,      23.90,    23.13,    26.35,    25.27,    20.85
       63.0,      23.78,    22.99,    26.24,    25.16,    20.72
       64.0,      23.65,    22.84,    26.13,    25.06,    20.58
       65.0,      23.53,    22.70,    26.03,    24.95,    20.45
       66.0,      23.42,    22.56,    25.93,    24.85,    20.33
       67.0,      23.30,    22.42,    25.83,    24.74,    20.20
       68.0,      23.19,    22.29,    25.73,    24.64,    20.08
       69.0,      23.07,    22.16,    25.63,    24.55,    19.96
       70.0,      22.96,    22.03,    25.53,    24.45,    19.84
       71.0,      22.86,    21.91,    25.44,    24.36,    19.72
       72.0,      22.75,    21.79,    25.35,    24.26,    19.61
       73.0,      22.65,    21.67,    25.25,    24.17,    19.50
       74.0,      22.55,    21.55,    25.16,    24.08,    19.38
       75.0,      22.44,    21.43,    25.07,    24.00,    19.27
       76.0,      22.35,    21.32,    24.98,    23.91,    19.17
       77.0,      22.25,    21.21,    24.90,    23.83,    19.06
       78.0,      22.15,    21.10,    24.81,    23.74,    18.96
       79.0,      22.06,    21.00,    24.73,    23.66,    18.85
       80.0,      21.97,    20.89,    24.64,    23.58,    18.75
       81.0,      21.88,    20.79,    24.56,    23.50,    18.65
       82.0,      21.79,    20.69,    24.48,    23.43,    18.55
       83.0,      21.70,    20.59,    24.40,    23.35,    18.45
       84.0,      21.61,    20.49,    24.32,    23.27,    18.36
       85.0,      21.52,    20.39,    24.24,    23.20,    18.26
       86.0,      21.44,    20.30,    24.16,    23.13,    18.17
       87.0,      21.36,    20.20,    24.09,    23.05,    18.08
       88.0,      21.27,    20.11,    24.01,    22.98,    17.99
       89.0,      21.19,    20.02,    23.94,    22.91,    17.90
       90.0,      21.11,    19.93,    23.87,    22.84,    17.81
       91.0,      21.03,    19.84,    23.79,    22.77,    17.72
       92.0,      20.95,    19.76,    23.72,    22.71,    17.63
