Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.25,     2.15,     2.15,     2.57,     2.15
        2.0,       4.79,     4.66,     4.66,     5.16,     4.66
        3.0,       7.47,     7.38,     7.35,     7.77,     7.37
        4.0,      10.32,    10.33,    10.22,    10.41,    10.32
        5.0,      13.44,    13.63,    13.35,    13.17,    13.60
        6.0,      16.94,    17.40,    16.86,    16.16,    17.36
        7.0,      20.91,    21.69,    20.85,    19.46,    21.64
        8.0,      25.33,    26.47,    25.32,    23.11,    26.44
        9.0,      30.12,    31.61,    30.19,    27.06,    31.62
       10.0,      35.09,    36.90,    35.30,    31.20,    36.96
       11.0,      39.98,    42.04,    40.37,    35.33,    42.17
       12.0,      44.52,    46.75,    45.14,    39.24,    46.94
       13.0,      48.45,    50.76,    49.33,    42.68,    51.01
       14.0,      51.56,    53.88,    52.71,    45.49,    54.16
       15.0,      53.73,    56.00,    55.13,    47.52,    56.28
       16.0,      54.95,    57.13,    56.57,    48.73,    57.37
       17.0,      55.28,    57.36,    57.08,    49.16,    57.53
       18.0,      54.88,    56.87,    56.79,    48.92,    56.94
       19.0,      53.93,    55.86,    55.92,    48.15,    55.80
       20.0,      52.66,    54.56,    54.67,    47.05,    54.35
       21.0,      51.24,    53.15,    53.25,    45.78,    52.77
       22.0,      49.81,    51.75,    51.81,    44.48,    51.22
       23.0,      48.46,    50.43,    50.44,    43.24,    49.74
       24.0,      47.20,    49.19,    49.17,    42.08,    48.37
       25.0,      46.02,    48.03,    47.99,    41.01,    47.07
       26.0,      44.90,    46.91,    46.86,    39.99,    45.83
       27.0,      43.82,    45.84,    45.78,    39.02,    44.64
       28.0,      42.78,    44.81,    44.74,    38.08,    43.49
       29.0,      41.78,    43.81,    43.73,    37.18,    42.39
       30.0,      40.81,    42.85,    42.77,    36.31,    41.33
       31.0,      39.89,    41.93,    41.83,    35.47,    40.31
       32.0,      38.99,    41.04,    40.94,    34.67,    39.32
       33.0,      38.13,    40.19,    40.07,    33.89,    38.38
       34.0,      37.30,    39.36,    39.24,    33.14,    37.47
       35.0,      36.50,    38.57,    38.43,    32.42,    36.59
       36.0,      35.74,    37.81,    37.66,    31.73,    35.75
       37.0,      34.99,    37.07,    36.91,    31.06,    34.94
       38.0,      34.28,    36.36,    36.19,    30.41,    34.16
       39.0,      33.59,    35.68,    35.49,    29.79,    33.41
       40.0,      32.93,    35.02,    34.82,    29.19,    32.69
       41.0,      32.29,    34.39,    34.18,    28.61,    32.00
       42.0,      31.68,    33.78,    33.55,    28.05,    31.33
       43.0,      31.08,    33.19,    32.95,    27.52,    30.68
       44.0,      30.51,    32.62,    32.37,    27.00,    30.06
       45.0,      29.96,    32.07,    31.81,    26.50,    29.47
       46.0,      29.43,    31.55,    31.27,    26.02,    28.89
       47.0,      28.92,    31.04,    30.75,    25.55,    28.34
       48.0,      28.42,    30.55,    30.24,    25.10,    27.81
       49.0,      27.95,    30.07,    29.76,    24.67,    27.29
       50.0,      27.49,    29.62,    29.29,    24.25,    26.80
       51.0,      27.04,    29.18,    28.83,    23.85,    26.32
       52.0,      26.62,    28.75,    28.39,    23.46,    25.87
       53.0,      26.20,    28.34,    27.97,    23.08,    25.42
       54.0,      25.81,    27.95,    27.56,    22.72,    25.00
       55.0,      25.42,    27.57,    27.16,    22.36,    24.59
       56.0,      25.05,    27.20,    26.78,    22.03,    24.19
       57.0,      24.69,    26.84,    26.41,    21.70,    23.81
       58.0,      24.34,    26.50,    26.05,    21.38,    23.45
       59.0,      24.01,    26.17,    25.70,    21.07,    23.09
       60.0,      23.69,    25.85,    25.37,    20.78,    22.75
       61.0,      23.37,    25.54,    25.04,    20.49,    22.42
       62.0,      23.07,    25.24,    24.73,    20.21,    22.10
       63.0,      22.78,    24.95,    24.42,    19.95,    21.80
       64.0,      22.50,    24.67,    24.13,    19.69,    21.50
       65.0,      22.22,    24.40,    23.84,    19.44,    21.22
       66.0,      21.96,    24.14,    23.57,    19.19,    20.94
       67.0,      21.70,    23.88,    23.30,    18.96,    20.68
       68.0,      21.46,    23.64,    23.04,    18.73,    20.42
       69.0,      21.22,    23.40,    22.79,    18.51,    20.18
       70.0,      20.99,    23.17,    22.54,    18.30,    19.94
       71.0,      20.76,    22.95,    22.31,    18.09,    19.71
       72.0,      20.55,    22.73,    22.08,    17.89,    19.49
       73.0,      20.34,    22.52,    21.85,    17.69,    19.27
       74.0,      20.13,    22.32,    21.64,    17.50,    19.06
       75.0,      19.93,    22.13,    21.43,    17.32,    18.86
       76.0,      19.74,    21.94,    21.22,    17.14,    18.67
       77.0,      19.56,    21.75,    21.02,    16.97,    18.48
       78.0,      19.38,    21.57,    20.83,    16.80,    18.30
       79.0,      19.20,    21.40,    20.64,    16.64,    18.13
       80.0,      19.03,    21.23,    20.46,    16.48,    17.96
       81.0,      18.87,    21.07,    20.28,    16.33,    17.79
       82.0,      18.71,    20.91,    20.11,    16.18,    17.64
       83.0,      18.55,    20.76,    19.94,    16.03,    17.48
       84.0,      18.40,    20.61,    19.78,    15.89,    17.33
       85.0,      18.26,    20.46,    19.62,    15.75,    17.19
       86.0,      18.11,    20.32,    19.46,    15.62,    17.05
       87.0,      17.98,    20.19,    19.31,    15.49,    16.92
       88.0,      17.84,    20.05,    19.16,    15.36,    16.78
       89.0,      17.71,    19.92,    19.02,    15.24,    16.66
       90.0,      17.58,    19.80,    18.88,    15.12,    16.54
       91.0,      17.46,    19.67,    18.74,    15.00,    16.42
       92.0,      17.34,    19.55,    18.61,    14.89,    16.30
       93.0,      17.22,    19.44,    18.48,    14.78,    16.19
       94.0,      17.10,    19.32,    18.35,    14.67,    16.08
       95.0,      16.99,    19.21,    18.22,    14.56,    15.97
       96.0,      16.88,    19.10,    18.10,    14.46,    15.87
       97.0,      16.78,    19.00,    17.98,    14.36,    15.77
       98.0,      16.67,    18.89,    17.87,    14.26,    15.68
       99.0,      16.57,    18.79,    17.75,    14.16,    15.58
      100.0,      16.47,    18.69,    17.64,    14.07,    15.49
      101.0,      16.38,    18.60,    17.53,    13.97,    15.40
      102.0,      16.28,    18.51,    17.42,    13.88,    15.31
      103.0,      16.19,    18.41,    17.32,    13.80,    15.23
      104.0,      16.10,    18.32,    17.22,    13.71,    15.15
      105.0,      16.01,    18.24,    17.11,    13.63,    15.07
      106.0,      15.92,    18.15,    17.02,    13.54,    14.99
      107.0,      15.84,    18.07,    16.92,    13.46,    14.92
      108.0,      15.76,    17.98,    16.82,    13.38,    14.84
      109.0,      15.68,    17.90,    16.73,    13.30,    14.77
      110.0,      15.60,    17.82,    16.64,    13.23,    14.70
      111.0,      15.52,    17.75,    16.55,    13.15,    14.63
      112.0,      15.44,    17.67,    16.46,    13.08,    14.56
      113.0,      15.37,    17.60,    16.37,    13.01,    14.50
      114.0,      15.29,    17.52,    16.29,    12.93,    14.43
      115.0,      15.22,    17.45,    16.20,    12.86,    14.37
      116.0,      15.15,    17.38,    16.12,    12.80,    14.31
      117.0,      15.08,    17.31,    16.04,    12.73,    14.25
      118.0,      15.01,    17.24,    15.96,    12.66,    14.19
      119.0,      14.95,    17.18,    15.88,    12.60,    14.14
      120.0,      14.88,    17.11,    15.80,    12.53,    14.08
      121.0,      14.82,    17.05,    15.72,    12.47,    14.03
      122.0,      14.75,    16.98,    15.65,    12.41,    13.97
      123.0,      14.69,    16.92,    15.57,    12.35,    13.92
      124.0,      14.63,    16.86,    15.50,    12.29,    13.87
      125.0,      14.57,    16.80,    15.43,    12.23,    13.82
      126.0,      14.51,    16.74,    15.36,    12.17,    13.77
      127.0,      14.45,    16.68,    15.28,    12.11,    13.72
      128.0,      14.39,    16.62,    15.21,    12.05,    13.67
      129.0,      14.33,    16.56,    15.15,    12.00,    13.63
      130.0,      14.28,    16.51,    15.08,    11.94,    13.58
