Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.83,     1.73,     1.76,     2.06,     1.76
        2.0,       3.54,     3.43,     3.46,     3.82,     3.46
        3.0,       5.22,     5.11,     5.14,     5.48,     5.14
        4.0,       6.87,     6.78,     6.81,     7.07,     6.81
        5.0,       8.50,     8.45,     8.47,     8.63,     8.47
        6.0,      10.12,    10.11,    10.12,    10.14,    10.12
        7.0,      11.73,    11.76,    11.76,    11.63,    11.76
        8.0,      13.33,    13.42,    13.40,    13.10,    13.40
        9.0,      14.92,    15.07,    15.03,    14.54,    15.03
       10.0,      16.50,    16.71,    16.66,    15.97,    16.66
       11.0,      18.08,    18.36,    18.29,    17.38,    18.29
       12.0,      19.65,    20.00,    19.91,    18.78,    19.91
       13.0,      21.22,    21.64,    21.53,    20.16,    21.53
       14.0,      22.79,    23.30,    23.16,    21.54,    23.17
       15.0,      24.42,    25.02,    24.86,    22.94,    24.88
       16.0,      26.16,    26.84,    26.70,    24.40,    26.70
       17.0,      28.06,    28.83,    28.75,    25.96,    28.69
       18.0,      30.15,    31.00,    31.06,    27.66,    30.86
       19.0,      32.41,    33.34,    33.62,    29.49,    33.19
       20.0,      34.79,    35.78,    36.34,    31.41,    35.63
       21.0,      37.20,    38.24,    39.11,    33.38,    38.06
       22.0,      39.52,    40.61,    41.77,    35.29,    40.40
       23.0,      41.63,    42.78,    44.15,    37.06,    42.52
       24.0,      43.42,    44.64,    46.11,    38.60,    44.33
       25.0,      44.82,    46.12,    47.55,    39.84,    45.76
       26.0,      45.79,    47.20,    48.42,    40.75,    46.78
       27.0,      46.33,    47.88,    48.72,    41.32,    47.41
       28.0,      46.50,    48.20,    48.51,    41.58,    47.69
       29.0,      46.35,    48.24,    47.91,    41.58,    47.69
       30.0,      46.00,    48.07,    47.02,    41.39,    47.50
       31.0,      45.51,    47.79,    45.98,    41.08,    47.20
       32.0,      44.98,    47.45,    44.89,    40.72,    46.85
       33.0,      44.45,    47.12,    43.82,    40.34,    46.50
       34.0,      43.94,    46.80,    42.81,    39.98,    46.17
       35.0,      43.46,    46.49,    41.86,    39.64,    45.85
       36.0,      43.01,    46.20,    40.96,    39.32,    45.55
       37.0,      42.56,    45.92,    40.10,    39.00,    45.24
