Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.24,     2.22,     2.25,     2.25,     2.22
        2.0,       3.95,     3.94,     3.96,     3.96,     3.94
        3.0,       5.50,     5.50,     5.51,     5.51,     5.50
        4.0,       6.97,     6.97,     6.97,     6.97,     6.97
        5.0,       8.37,     8.38,     8.36,     8.36,     8.38
        6.0,       9.72,     9.74,     9.70,     9.70,     9.74
        7.0,      11.03,    11.06,    11.00,    11.00,    11.06
        8.0,      12.30,    12.35,    12.26,    12.26,    12.35
        9.0,      13.55,    13.61,    13.50,    13.50,    13.61
       10.0,      14.78,    14.84,    14.71,    14.71,    14.84
       11.0,      15.98,    16.06,    15.90,    15.90,    16.06
       12.0,      17.18,    17.28,    17.09,    17.07,    17.27
       13.0,      18.40,    18.54,    18.31,    18.24,    18.50
       14.0,      19.68,    19.87,    19.61,    19.43,    19.79
       15.0,      21.05,    21.31,    21.01,    20.69,    21.18
       16.0,      22.53,    22.87,    22.53,    22.02,    22.68
       17.0,      24.10,    24.52,    24.15,    23.45,    24.28
       18.0,      25.74,    26.22,    25.83,    24.95,    25.94
       19.0,      27.38,    27.90,    27.51,    26.49,    27.61
       20.0,      28.96,    29.50,    29.10,    28.00,    29.22
       21.0,      30.40,    30.94,    30.54,    29.44,    30.68
       22.0,      31.65,    32.16,    31.76,    30.72,    31.95
       23.0,      32.65,    33.13,    32.72,    31.80,    32.96
       24.0,      33.40,    33.83,    33.39,    32.65,    33.71
       25.0,      33.88,    34.26,    33.80,    33.26,    34.20
       26.0,      34.14,    34.48,    33.97,    33.64,    34.45
       27.0,      34.20,    34.52,    33.96,    33.82,    34.51
       28.0,      34.14,    34.44,    33.81,    33.85,    34.44
       29.0,      33.99,    34.29,    33.59,    33.77,    34.29
       30.0,      33.80,    34.12,    33.33,    33.64,    34.10
       31.0,      33.60,    33.94,    33.08,    33.49,    33.90
       32.0,      33.41,    33.76,    32.83,    33.34,    33.71
       33.0,      33.23,    33.60,    32.60,    33.21,    33.53
       34.0,      33.06,    33.44,    32.37,    33.08,    33.35
