Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.16,     2.10,     2.19,     2.24,     2.10
        2.0,       3.54,     3.50,     3.56,     3.59,     3.50
        3.0,       4.73,     4.72,     4.74,     4.73,     4.72
        4.0,       5.80,     5.83,     5.80,     5.75,     5.83
        5.0,       6.81,     6.88,     6.78,     6.69,     6.88
        6.0,       7.75,     7.86,     7.71,     7.57,     7.86
        7.0,       8.65,     8.81,     8.59,     8.41,     8.81
        8.0,       9.52,     9.72,     9.44,     9.20,     9.72
        9.0,      10.36,    10.60,    10.25,     9.97,    10.60
       10.0,      11.17,    11.45,    11.04,    10.71,    11.45
       11.0,      11.95,    12.29,    11.81,    11.43,    12.29
       12.0,      12.72,    13.10,    12.55,    12.12,    13.10
       13.0,      13.47,    13.90,    13.28,    12.80,    13.90
       14.0,      14.20,    14.68,    13.99,    13.46,    14.68
       15.0,      14.92,    15.44,    14.68,    14.10,    15.44
       16.0,      15.62,    16.19,    15.36,    14.74,    16.19
       17.0,      16.31,    16.93,    16.03,    15.35,    16.93
       18.0,      16.99,    17.66,    16.69,    15.96,    17.66
       19.0,      17.66,    18.38,    17.34,    16.56,    18.38
       20.0,      18.32,    19.08,    17.97,    17.15,    19.08
       21.0,      18.97,    19.79,    18.60,    17.72,    19.78
       22.0,      19.62,    20.51,    19.22,    18.29,    20.47
       23.0,      20.28,    21.27,    19.85,    18.85,    21.16
       24.0,      20.97,    22.12,    20.50,    19.41,    21.84
       25.0,      21.70,    23.06,    21.19,    19.99,    22.55
       26.0,      22.49,    24.11,    21.93,    20.61,    23.29
       27.0,      23.33,    25.23,    22.71,    21.29,    24.09
       28.0,      24.21,    26.37,    23.52,    22.02,    24.93
       29.0,      25.11,    27.49,    24.33,    22.80,    25.80
       30.0,      25.97,    28.51,    25.12,    23.60,    26.68
       31.0,      26.77,    29.36,    25.84,    24.36,    27.52
       32.0,      27.45,    30.01,    26.46,    25.04,    28.28
       33.0,      27.98,    30.43,    26.96,    25.59,    28.93
       34.0,      28.34,    30.62,    27.33,    25.98,    29.43
       35.0,      28.53,    30.59,    27.57,    26.19,    29.79
       36.0,      28.57,    30.39,    27.69,    26.21,    29.98
       37.0,      28.47,    30.06,    27.72,    26.06,    30.05
       38.0,      28.28,    29.65,    27.68,    25.78,    30.00
       39.0,      28.02,    29.21,    27.59,    25.41,    29.87
       40.0,      27.74,    28.77,    27.49,    24.98,    29.70
       41.0,      27.45,    28.35,    27.39,    24.54,    29.51
       42.0,      27.17,    27.94,    27.30,    24.11,    29.32
       43.0,      26.91,    27.56,    27.21,    23.71,    29.15
       44.0,      26.66,    27.19,    27.12,    23.34,    28.99
       45.0,      26.42,    26.83,    27.04,    22.99,    28.84
       46.0,      26.20,    26.48,    26.95,    22.66,    28.69
       47.0,      25.98,    26.15,    26.87,    22.34,    28.55
       48.0,      25.76,    25.83,    26.79,    22.03,    28.40
