Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.05,     2.96,     3.14,     3.14,     2.96
        2.0,       5.14,     5.27,     5.02,     5.02,     5.27
        3.0,       7.04,     7.45,     6.64,     6.62,     7.44
        4.0,       8.89,     9.67,     8.17,     8.10,     9.64
        5.0,      10.81,    12.02,     9.69,     9.55,    11.97
        6.0,      12.83,    14.55,    11.26,    11.03,    14.49
        7.0,      14.98,    17.27,    12.89,    12.56,    17.20
        8.0,      17.22,    20.12,    14.57,    14.14,    20.03
        9.0,      19.47,    22.98,    16.24,    15.74,    22.90
       10.0,      21.63,    25.73,    17.85,    17.30,    25.66
       11.0,      23.62,    28.22,    19.33,    18.75,    28.17
       12.0,      25.32,    30.33,    20.59,    20.04,    30.30
       13.0,      26.66,    31.97,    21.61,    21.10,    31.96
       14.0,      27.61,    33.09,    22.34,    21.91,    33.11
       15.0,      28.17,    33.71,    22.79,    22.46,    33.74
       16.0,      28.38,    33.87,    22.98,    22.75,    33.91
       17.0,      28.28,    33.67,    22.95,    22.82,    33.69
       18.0,      27.97,    33.20,    22.76,    22.72,    33.21
       19.0,      27.53,    32.57,    22.47,    22.51,    32.56
       20.0,      27.01,    31.87,    22.13,    22.23,    31.83
       21.0,      26.49,    31.16,    21.77,    21.92,    31.09
       22.0,      25.98,    30.48,    21.43,    21.61,    30.38
       23.0,      25.49,    29.83,    21.09,    21.32,    29.71
       24.0,      25.03,    29.22,    20.77,    21.04,    29.07
       25.0,      24.58,    28.63,    20.46,    20.77,    28.46
       26.0,      24.15,    28.06,    20.16,    20.50,    27.86
       27.0,      23.73,    27.51,    19.87,    20.24,    27.29
       28.0,      23.32,    26.99,    19.58,    19.98,    26.75
       29.0,      22.93,    26.48,    19.30,    19.73,    26.22
       30.0,      22.55,    25.99,    19.03,    19.48,    25.71
       31.0,      22.19,    25.52,    18.77,    19.23,    25.22
       32.0,      21.83,    25.07,    18.51,    18.99,    24.75
       33.0,      21.49,    24.63,    18.26,    18.76,    24.30
       34.0,      21.15,    24.21,    18.02,    18.53,    23.86
       35.0,      20.83,    23.81,    17.78,    18.30,    23.44
       36.0,      20.52,    23.42,    17.55,    18.08,    23.03
       37.0,      20.22,    23.04,    17.32,    17.86,    22.64
       38.0,      19.93,    22.68,    17.10,    17.65,    22.27
       39.0,      19.64,    22.34,    16.89,    17.44,    21.91
       40.0,      19.37,    22.00,    16.68,    17.23,    21.56
       41.0,      19.10,    21.68,    16.48,    17.03,    21.22
       42.0,      18.84,    21.37,    16.28,    16.83,    20.90
       43.0,      18.59,    21.07,    16.08,    16.63,    20.59
       44.0,      18.35,    20.78,    15.90,    16.44,    20.29
       45.0,      18.12,    20.50,    15.71,    16.25,    20.00
       46.0,      17.89,    20.23,    15.53,    16.07,    19.72
       47.0,      17.67,    19.97,    15.36,    15.89,    19.45
       48.0,      17.45,    19.72,    15.19,    15.71,    19.19
       49.0,      17.25,    19.48,    15.03,    15.53,    18.94
       50.0,      17.04,    19.25,    14.86,    15.36,    18.70
       51.0,      16.85,    19.03,    14.71,    15.19,    18.47
       52.0,      16.66,    18.82,    14.55,    15.02,    18.25
       53.0,      16.48,    18.61,    14.41,    14.86,    18.03
       54.0,      16.30,    18.41,    14.26,    14.70,    17.82
       55.0,      16.13,    18.22,    14.12,    14.54,    17.62
       56.0,      15.96,    18.03,    13.98,    14.39,    17.43
       57.0,      15.79,    17.85,    13.85,    14.24,    17.24
       58.0,      15.64,    17.68,    13.71,    14.09,    17.06
       59.0,      15.48,    17.51,    13.59,    13.94,    16.89
       60.0,      15.33,    17.35,    13.46,    13.80,    16.72
       61.0,      15.19,    17.19,    13.34,    13.66,    16.56
       62.0,      15.05,    17.04,    13.22,    13.52,    16.41
       63.0,      14.91,    16.90,    13.11,    13.38,    16.26
       64.0,      14.78,    16.76,    12.99,    13.25,    16.11
       65.0,      14.65,    16.63,    12.88,    13.12,    15.97
       66.0,      14.52,    16.50,    12.78,    12.99,    15.84
       67.0,      14.40,    16.37,    12.67,    12.86,    15.71
       68.0,      14.28,    16.25,    12.57,    12.74,    15.58
       69.0,      14.17,    16.13,    12.47,    12.62,    15.46
       70.0,      14.06,    16.02,    12.37,    12.50,    15.34
       71.0,      13.95,    15.91,    12.28,    12.38,    15.23
       72.0,      13.84,    15.80,    12.19,    12.26,    15.12
       73.0,      13.74,    15.70,    12.09,    12.15,    15.01
       74.0,      13.64,    15.60,    12.01,    12.04,    14.91
       75.0,      13.54,    15.51,    11.92,    11.93,    14.81
       76.0,      13.45,    15.41,    11.84,    11.82,    14.72
       77.0,      13.36,    15.32,    11.76,    11.72,    14.63
       78.0,      13.27,    15.24,    11.68,    11.61,    14.54
       79.0,      13.18,    15.15,    11.60,    11.51,    14.45
       80.0,      13.09,    15.07,    11.52,    11.41,    14.37
       81.0,      13.01,    14.99,    11.45,    11.31,    14.29
       82.0,      12.93,    14.92,    11.38,    11.21,    14.21
       83.0,      12.85,    14.85,    11.30,    11.12,    14.13
       84.0,      12.77,    14.77,    11.24,    11.02,    14.06
       85.0,      12.70,    14.71,    11.17,    10.93,    13.99
       86.0,      12.63,    14.64,    11.10,    10.84,    13.92
       87.0,      12.55,    14.57,    11.04,    10.75,    13.85
       88.0,      12.49,    14.51,    10.97,    10.67,    13.79
       89.0,      12.42,    14.45,    10.91,    10.58,    13.73
       90.0,      12.35,    14.39,    10.85,    10.50,    13.67
       91.0,      12.29,    14.33,    10.79,    10.41,    13.61
       92.0,      12.22,    14.28,    10.74,    10.33,    13.55
       93.0,      12.16,    14.22,    10.68,    10.25,    13.49
       94.0,      12.10,    14.17,    10.63,    10.18,    13.44
       95.0,      12.05,    14.12,    10.57,    10.10,    13.39
       96.0,      11.99,    14.07,    10.52,    10.02,    13.34
       97.0,      11.93,    14.02,    10.47,     9.95,    13.29
       98.0,      11.88,    13.98,    10.42,     9.87,    13.24
       99.0,      11.83,    13.93,    10.37,     9.80,    13.20
      100.0,      11.77,    13.89,    10.32,     9.73,    13.15
      101.0,      11.72,    13.84,    10.28,     9.66,    13.11
      102.0,      11.67,    13.80,    10.23,     9.59,    13.06
      103.0,      11.62,    13.76,    10.19,     9.53,    13.02
      104.0,      11.58,    13.72,    10.14,     9.46,    12.98
      105.0,      11.53,    13.68,    10.10,     9.40,    12.94
      106.0,      11.49,    13.65,    10.06,     9.33,    12.91
      107.0,      11.44,    13.61,    10.02,     9.27,    12.87
      108.0,      11.40,    13.57,     9.98,     9.21,    12.83
      109.0,      11.36,    13.54,     9.94,     9.15,    12.80
      110.0,      11.31,    13.51,     9.90,     9.09,    12.76
      111.0,      11.27,    13.47,     9.86,     9.03,    12.73
      112.0,      11.23,    13.44,     9.83,     8.97,    12.70
      113.0,      11.19,    13.41,     9.79,     8.92,    12.66
      114.0,      11.16,    13.38,     9.75,     8.86,    12.63
      115.0,      11.12,    13.35,     9.72,     8.80,    12.60
      116.0,      11.08,    13.32,     9.69,     8.75,    12.57
      117.0,      11.05,    13.29,     9.65,     8.70,    12.54
      118.0,      11.01,    13.26,     9.62,     8.65,    12.52
      119.0,      10.98,    13.23,     9.59,     8.59,    12.49
      120.0,      10.94,    13.21,     9.56,     8.54,    12.46
      121.0,      10.91,    13.18,     9.53,     8.49,    12.44
      122.0,      10.88,    13.15,     9.50,     8.45,    12.41
      123.0,      10.84,    13.13,     9.47,     8.40,    12.38
      124.0,      10.81,    13.10,     9.44,     8.35,    12.36
      125.0,      10.78,    13.08,     9.41,     8.30,    12.33
      126.0,      10.75,    13.05,     9.38,     8.26,    12.31
      127.0,      10.72,    13.03,     9.35,     8.21,    12.29
      128.0,      10.69,    13.01,     9.33,     8.17,    12.26
      129.0,      10.66,    12.98,     9.30,     8.13,    12.24
      130.0,      10.64,    12.96,     9.28,     8.08,    12.22
      131.0,      10.61,    12.94,     9.25,     8.04,    12.20
      132.0,      10.58,    12.92,     9.23,     8.00,    12.18
      133.0,      10.55,    12.90,     9.20,     7.96,    12.16
      134.0,      10.53,    12.88,     9.18,     7.92,    12.13
      135.0,      10.50,    12.86,     9.15,     7.88,    12.11
      136.0,      10.48,    12.84,     9.13,     7.84,    12.09
      137.0,      10.45,    12.82,     9.11,     7.80,    12.07
      138.0,      10.43,    12.80,     9.08,     7.77,    12.06
      139.0,      10.40,    12.78,     9.06,     7.73,    12.04
      140.0,      10.38,    12.76,     9.04,     7.69,    12.02
      141.0,      10.35,    12.74,     9.02,     7.66,    12.00
      142.0,      10.33,    12.72,     9.00,     7.62,    11.98
      143.0,      10.31,    12.70,     8.98,     7.59,    11.96
      144.0,      10.29,    12.68,     8.96,     7.55,    11.95
      145.0,      10.26,    12.67,     8.94,     7.52,    11.93
      146.0,      10.24,    12.65,     8.92,     7.49,    11.91
      147.0,      10.22,    12.63,     8.90,     7.45,    11.89
      148.0,      10.20,    12.61,     8.88,     7.42,    11.88
      149.0,      10.18,    12.60,     8.86,     7.39,    11.86
      150.0,      10.16,    12.58,     8.84,     7.36,    11.84
      151.0,      10.14,    12.56,     8.82,     7.33,    11.83
      152.0,      10.12,    12.55,     8.81,     7.30,    11.81
      153.0,      10.10,    12.53,     8.79,     7.27,    11.80
      154.0,      10.08,    12.51,     8.77,     7.24,    11.78
      155.0,      10.06,    12.50,     8.75,     7.21,    11.76
      156.0,      10.04,    12.48,     8.74,     7.18,    11.75
      157.0,      10.02,    12.47,     8.72,     7.15,    11.73
      158.0,      10.00,    12.45,     8.70,     7.13,    11.72
      159.0,       9.98,    12.43,     8.69,     7.10,    11.70
      160.0,       9.96,    12.42,     8.67,     7.07,    11.69
      161.0,       9.95,    12.40,     8.66,     7.05,    11.67
      162.0,       9.93,    12.39,     8.64,     7.02,    11.66
      163.0,       9.91,    12.37,     8.63,     7.00,    11.65
      164.0,       9.89,    12.36,     8.61,     6.97,    11.63
      165.0,       9.88,    12.34,     8.60,     6.95,    11.62
      166.0,       9.86,    12.33,     8.58,     6.92,    11.60
      167.0,       9.84,    12.32,     8.57,     6.90,    11.59
      168.0,       9.83,    12.30,     8.55,     6.87,    11.57
      169.0,       9.81,    12.29,     8.54,     6.85,    11.56
      170.0,       9.79,    12.27,     8.52,     6.83,    11.55
      171.0,       9.78,    12.26,     8.51,     6.80,    11.53
      172.0,       9.76,    12.24,     8.50,     6.78,    11.52
      173.0,       9.74,    12.23,     8.48,     6.76,    11.51
      174.0,       9.73,    12.22,     8.47,     6.74,    11.49
      175.0,       9.71,    12.20,     8.46,     6.72,    11.48
      176.0,       9.70,    12.19,     8.44,     6.69,    11.47
      177.0,       9.68,    12.17,     8.43,     6.67,    11.45
      178.0,       9.67,    12.16,     8.42,     6.65,    11.44
      179.0,       9.65,    12.15,     8.40,     6.63,    11.43
      180.0,       9.64,    12.13,     8.39,     6.61,    11.42
      181.0,       9.62,    12.12,     8.38,     6.59,    11.40
      182.0,       9.61,    12.11,     8.37,     6.57,    11.39
      183.0,       9.59,    12.09,     8.35,     6.55,    11.38
      184.0,       9.58,    12.08,     8.34,     6.53,    11.36
      185.0,       9.57,    12.07,     8.33,     6.52,    11.35
      186.0,       9.55,    12.05,     8.32,     6.50,    11.34
      187.0,       9.54,    12.04,     8.31,     6.48,    11.33
      188.0,       9.52,    12.03,     8.29,     6.46,    11.31
      189.0,       9.51,    12.02,     8.28,     6.44,    11.30
      190.0,       9.50,    12.00,     8.27,     6.43,    11.29
      191.0,       9.48,    11.99,     8.26,     6.41,    11.28
      192.0,       9.47,    11.98,     8.25,     6.39,    11.27
      193.0,       9.46,    11.96,     8.24,     6.37,    11.25
      194.0,       9.44,    11.95,     8.23,     6.36,    11.24
      195.0,       9.43,    11.94,     8.21,     6.34,    11.23
      196.0,       9.42,    11.93,     8.20,     6.32,    11.22
      197.0,       9.40,    11.91,     8.19,     6.31,    11.21
      198.0,       9.39,    11.90,     8.18,     6.29,    11.19
      199.0,       9.38,    11.89,     8.17,     6.28,    11.18
      200.0,       9.37,    11.88,     8.16,     6.26,    11.17
      201.0,       9.35,    11.86,     8.15,     6.25,    11.16
      202.0,       9.34,    11.85,     8.14,     6.23,    11.15
      203.0,       9.33,    11.84,     8.13,     6.22,    11.13
      204.0,       9.32,    11.83,     8.12,     6.20,    11.12
      205.0,       9.30,    11.81,     8.11,     6.19,    11.11
      206.0,       9.29,    11.80,     8.10,     6.17,    11.10
      207.0,       9.28,    11.79,     8.09,     6.16,    11.09
      208.0,       9.27,    11.78,     8.08,     6.14,    11.08
      209.0,       9.26,    11.76,     8.07,     6.13,    11.06
      210.0,       9.24,    11.75,     8.06,     6.12,    11.05
      211.0,       9.23,    11.74,     8.05,     6.10,    11.04
      212.0,       9.22,    11.73,     8.04,     6.09,    11.03
      213.0,       9.21,    11.72,     8.03,     6.07,    11.02
      214.0,       9.20,    11.70,     8.02,     6.06,    11.01
      215.0,       9.19,    11.69,     8.01,     6.05,    11.00
      216.0,       9.17,    11.68,     8.00,     6.04,    10.98
      217.0,       9.16,    11.67,     7.99,     6.02,    10.97
      218.0,       9.15,    11.66,     7.98,     6.01,    10.96
      219.0,       9.14,    11.64,     7.97,     6.00,    10.95
      220.0,       9.13,    11.63,     7.96,     5.99,    10.94
      221.0,       9.12,    11.62,     7.95,     5.97,    10.93
      222.0,       9.11,    11.61,     7.94,     5.96,    10.92
      223.0,       9.10,    11.60,     7.93,     5.95,    10.91
