Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.01,     1.98,     1.95,     2.06,     2.03
        2.0,       3.46,     3.43,     3.41,     3.51,     3.49
        3.0,       4.76,     4.74,     4.73,     4.80,     4.79
        4.0,       5.98,     5.97,     5.95,     6.00,     5.99
        5.0,       7.12,     7.13,     7.12,     7.12,     7.13
        6.0,       8.22,     8.24,     8.25,     8.20,     8.21
        7.0,       9.29,     9.32,     9.34,     9.23,     9.26
        8.0,      10.32,    10.36,    10.39,    10.24,    10.28
        9.0,      11.32,    11.38,    11.43,    11.21,    11.26
       10.0,      12.30,    12.38,    12.44,    12.16,    12.23
       11.0,      13.26,    13.35,    13.43,    13.09,    13.17
       12.0,      14.20,    14.31,    14.40,    14.00,    14.09
       13.0,      15.12,    15.26,    15.35,    14.89,    15.00
       14.0,      16.03,    16.18,    16.30,    15.77,    15.89
       15.0,      16.93,    17.10,    17.23,    16.63,    16.77
       16.0,      17.81,    18.00,    18.14,    17.48,    17.63
       17.0,      18.68,    18.89,    19.05,    18.32,    18.48
       18.0,      19.55,    19.77,    19.94,    19.14,    19.32
       19.0,      20.40,    20.64,    20.83,    19.96,    20.16
       20.0,      21.24,    21.50,    21.71,    20.77,    20.98
       21.0,      22.07,    22.35,    22.57,    21.56,    21.79
       22.0,      22.91,    23.20,    23.44,    22.37,    22.62
       23.0,      23.76,    24.04,    24.32,    23.20,    23.47
       24.0,      24.66,    24.91,    25.25,    24.09,    24.38
       25.0,      25.62,    25.82,    26.25,    25.05,    25.36
       26.0,      26.67,    26.81,    27.33,    26.10,    26.43
       27.0,      27.78,    27.88,    28.48,    27.21,    27.56
       28.0,      28.94,    29.02,    29.69,    28.35,    28.71
       29.0,      30.11,    30.20,    30.90,    29.48,    29.85
       30.0,      31.22,    31.36,    32.07,    30.55,    30.92
       31.0,      32.23,    32.46,    33.13,    31.49,    31.87
       32.0,      33.09,    33.42,    34.03,    32.27,    32.65
       33.0,      33.76,    34.19,    34.75,    32.86,    33.25
       34.0,      34.23,    34.75,    35.25,    33.25,    33.66
       35.0,      34.49,    35.09,    35.55,    33.46,    33.89
       36.0,      34.58,    35.20,    35.66,    33.50,    33.96
       37.0,      34.52,    35.13,    35.62,    33.42,    33.91
       38.0,      34.36,    34.92,    35.48,    33.26,    33.78
       39.0,      34.14,    34.62,    35.27,    33.05,    33.61
       40.0,      33.89,    34.27,    35.04,    32.82,    33.43
       41.0,      33.64,    33.91,    34.81,    32.60,    33.25
       42.0,      33.41,    33.57,    34.60,    32.39,    33.07
       43.0,      33.19,    33.26,    34.39,    32.19,    32.91
       44.0,      32.97,    32.96,    34.19,    31.99,    32.75
       45.0,      32.76,    32.68,    34.00,    31.80,    32.58
       46.0,      32.56,    32.41,    33.80,    31.60,    32.42
       47.0,      32.36,    32.14,    33.61,    31.41,    32.27
       48.0,      32.16,    31.88,    33.42,    31.22,    32.11
       49.0,      31.96,    31.63,    33.24,    31.03,    31.95
       50.0,      31.77,    31.38,    33.05,    30.85,    31.80
       51.0,      31.58,    31.14,    32.87,    30.66,    31.64
       52.0,      31.39,    30.91,    32.69,    30.48,    31.49
       53.0,      31.21,    30.68,    32.52,    30.30,    31.34
       54.0,      31.03,    30.46,    32.34,    30.12,    31.19
       55.0,      30.85,    30.24,    32.17,    29.94,    31.04
       56.0,      30.67,    30.02,    32.00,    29.76,    30.89
       57.0,      30.49,    29.82,    31.83,    29.59,    30.75
       58.0,      30.32,    29.61,    31.66,    29.42,    30.60
       59.0,      30.15,    29.41,    31.49,    29.25,    30.46
       60.0,      29.98,    29.22,    31.33,    29.08,    30.31
       61.0,      29.82,    29.02,    31.17,    28.91,    30.17
       62.0,      29.65,    28.84,    31.01,    28.74,    30.03
       63.0,      29.49,    28.65,    30.85,    28.58,    29.89
       64.0,      29.33,    28.47,    30.70,    28.42,    29.75
       65.0,      29.18,    28.29,    30.54,    28.26,    29.61
       66.0,      29.02,    28.12,    30.39,    28.10,    29.47
       67.0,      28.87,    27.95,    30.24,    27.94,    29.34
       68.0,      28.71,    27.78,    30.09,    27.78,    29.20
