Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.87,     2.37,     3.06,     3.12,     2.92
        2.0,       5.24,     4.85,     5.39,     5.40,     5.33
        3.0,       7.50,     7.41,     7.53,     7.44,     7.60
        4.0,       9.74,    10.14,     9.62,     9.34,     9.86
        5.0,      12.07,    13.15,    11.76,    11.18,    12.20
        6.0,      14.58,    16.54,    14.04,    13.01,    14.72
        7.0,      17.30,    20.34,    16.50,    14.92,    17.45
        8.0,      20.24,    24.51,    19.12,    16.96,    20.37
        9.0,      23.32,    28.91,    21.85,    19.12,    23.41
       10.0,      26.44,    33.35,    24.57,    21.38,    26.44
       11.0,      29.43,    37.59,    27.14,    23.64,    29.33
       12.0,      32.13,    41.39,    29.43,    25.81,    31.91
       13.0,      34.42,    44.55,    31.31,    27.75,    34.05
       14.0,      36.17,    46.93,    32.71,    29.37,    35.68
       15.0,      37.34,    48.46,    33.59,    30.57,    36.75
       16.0,      37.94,    49.18,    33.97,    31.32,    37.28
       17.0,      38.01,    49.18,    33.92,    31.63,    37.33
       18.0,      37.67,    48.62,    33.51,    31.52,    37.01
       19.0,      37.02,    47.68,    32.88,    31.09,    36.43
       20.0,      36.20,    46.53,    32.11,    30.44,    35.72
       21.0,      35.30,    45.32,    31.29,    29.65,    34.95
       22.0,      34.41,    44.12,    30.50,    28.82,    34.19
       23.0,      33.56,    43.00,    29.74,    28.01,    33.48
       24.0,      32.76,    41.94,    29.03,    27.26,    32.81
       25.0,      32.01,    40.94,    28.36,    26.57,    32.18
       26.0,      31.29,    39.97,    27.71,    25.92,    31.57
       27.0,      30.60,    39.04,    27.09,    25.30,    30.98
       28.0,      29.94,    38.14,    26.49,    24.71,    30.42
       29.0,      29.30,    37.28,    25.92,    24.14,    29.87
       30.0,      28.69,    36.45,    25.36,    23.59,    29.35
       31.0,      28.09,    35.65,    24.83,    23.06,    28.84
       32.0,      27.52,    34.88,    24.31,    22.54,    28.36
       33.0,      26.97,    34.14,    23.82,    22.05,    27.89
       34.0,      26.44,    33.42,    23.34,    21.58,    27.44
       35.0,      25.93,    32.73,    22.88,    21.12,    27.00
       36.0,      25.44,    32.07,    22.44,    20.68,    26.58
       37.0,      24.97,    31.43,    22.01,    20.25,    26.17
       38.0,      24.51,    30.82,    21.60,    19.84,    25.78
       39.0,      24.07,    30.22,    21.21,    19.44,    25.41
       40.0,      23.65,    29.65,    20.83,    19.06,    25.04
       41.0,      23.24,    29.10,    20.46,    18.69,    24.69
       42.0,      22.84,    28.57,    20.11,    18.33,    24.36
       43.0,      22.46,    28.06,    19.77,    17.99,    24.03
       44.0,      22.10,    27.57,    19.44,    17.66,    23.71
       45.0,      21.74,    27.09,    19.13,    17.34,    23.41
       46.0,      21.40,    26.64,    18.82,    17.03,    23.12
       47.0,      21.07,    26.19,    18.53,    16.73,    22.83
       48.0,      20.75,    25.77,    18.25,    16.44,    22.56
       49.0,      20.45,    25.36,    17.97,    16.16,    22.30
       50.0,      20.15,    24.96,    17.71,    15.89,    22.04
       51.0,      19.87,    24.58,    17.46,    15.63,    21.80
       52.0,      19.59,    24.21,    17.21,    15.38,    21.56
       53.0,      19.32,    23.86,    16.98,    15.13,    21.33
       54.0,      19.07,    23.52,    16.75,    14.90,    21.11
       55.0,      18.82,    23.19,    16.53,    14.67,    20.89
       56.0,      18.58,    22.87,    16.32,    14.45,    20.68
       57.0,      18.35,    22.56,    16.12,    14.24,    20.48
       58.0,      18.13,    22.27,    15.92,    14.03,    20.29
       59.0,      17.91,    21.98,    15.73,    13.83,    20.10
       60.0,      17.70,    21.70,    15.55,    13.64,    19.92
       61.0,      17.50,    21.44,    15.37,    13.45,    19.74
       62.0,      17.30,    21.18,    15.20,    13.27,    19.57
       63.0,      17.12,    20.93,    15.03,    13.10,    19.40
       64.0,      16.93,    20.69,    14.87,    12.93,    19.24
       65.0,      16.76,    20.46,    14.72,    12.76,    19.09
       66.0,      16.59,    20.24,    14.57,    12.60,    18.94
       67.0,      16.42,    20.02,    14.43,    12.45,    18.79
       68.0,      16.26,    19.81,    14.29,    12.30,    18.65
       69.0,      16.11,    19.61,    14.16,    12.15,    18.51
       70.0,      15.96,    19.41,    14.03,    12.01,    18.38
       71.0,      15.81,    19.22,    13.90,    11.87,    18.25
       72.0,      15.67,    19.04,    13.78,    11.74,    18.13
       73.0,      15.54,    18.86,    13.66,    11.61,    18.00
       74.0,      15.40,    18.69,    13.55,    11.49,    17.89
       75.0,      15.28,    18.53,    13.44,    11.36,    17.77
       76.0,      15.15,    18.37,    13.34,    11.24,    17.66
       77.0,      15.03,    18.21,    13.23,    11.13,    17.55
       78.0,      14.92,    18.06,    13.13,    11.02,    17.44
       79.0,      14.80,    17.92,    13.04,    10.91,    17.34
       80.0,      14.69,    17.78,    12.95,    10.80,    17.24
       81.0,      14.59,    17.64,    12.86,    10.70,    17.14
       82.0,      14.48,    17.51,    12.77,    10.60,    17.05
       83.0,      14.38,    17.38,    12.68,    10.50,    16.96
       84.0,      14.28,    17.26,    12.60,    10.40,    16.87
       85.0,      14.19,    17.14,    12.52,    10.31,    16.78
       86.0,      14.10,    17.02,    12.45,    10.22,    16.69
       87.0,      14.01,    16.91,    12.37,    10.13,    16.61
       88.0,      13.92,    16.80,    12.30,    10.05,    16.53
       89.0,      13.83,    16.70,    12.23,     9.96,    16.45
       90.0,      13.75,    16.59,    12.16,     9.88,    16.37
       91.0,      13.67,    16.49,    12.09,     9.80,    16.30
       92.0,      13.59,    16.40,    12.03,     9.72,    16.22
       93.0,      13.52,    16.30,    11.97,     9.64,    16.15
       94.0,      13.44,    16.21,    11.90,     9.57,    16.08
       95.0,      13.37,    16.12,    11.85,     9.50,    16.01
       96.0,      13.30,    16.03,    11.79,     9.43,    15.94
       97.0,      13.23,    15.95,    11.73,     9.36,    15.87
       98.0,      13.16,    15.87,    11.68,     9.29,    15.81
       99.0,      13.09,    15.79,    11.62,     9.22,    15.75
      100.0,      13.03,    15.71,    11.57,     9.15,    15.68
      101.0,      12.97,    15.63,    11.52,     9.09,    15.62
      102.0,      12.91,    15.56,    11.47,     9.03,    15.56
      103.0,      12.85,    15.49,    11.43,     8.97,    15.50
      104.0,      12.79,    15.42,    11.38,     8.91,    15.45
      105.0,      12.73,    15.35,    11.33,     8.85,    15.39
      106.0,      12.67,    15.28,    11.29,     8.79,    15.33
      107.0,      12.62,    15.22,    11.25,     8.73,    15.28
      108.0,      12.57,    15.16,    11.20,     8.67,    15.23
      109.0,      12.51,    15.09,    11.16,     8.62,    15.17
      110.0,      12.46,    15.03,    11.12,     8.57,    15.12
      111.0,      12.41,    14.98,    11.08,     8.51,    15.07
      112.0,      12.36,    14.92,    11.04,     8.46,    15.02
      113.0,      12.31,    14.86,    11.01,     8.41,    14.97
      114.0,      12.26,    14.81,    10.97,     8.36,    14.92
      115.0,      12.22,    14.75,    10.93,     8.31,    14.87
      116.0,      12.17,    14.70,    10.90,     8.26,    14.83
      117.0,      12.13,    14.65,    10.86,     8.21,    14.78
      118.0,      12.08,    14.60,    10.83,     8.16,    14.73
      119.0,      12.04,    14.55,    10.80,     8.12,    14.69
      120.0,      12.00,    14.50,    10.77,     8.07,    14.64
      121.0,      11.95,    14.45,    10.73,     8.03,    14.60
      122.0,      11.91,    14.41,    10.70,     7.98,    14.56
      123.0,      11.87,    14.36,    10.67,     7.94,    14.51
      124.0,      11.83,    14.32,    10.64,     7.89,    14.47
      125.0,      11.79,    14.27,    10.61,     7.85,    14.43
      126.0,      11.75,    14.23,    10.58,     7.81,    14.39
      127.0,      11.71,    14.19,    10.55,     7.77,    14.35
      128.0,      11.68,    14.15,    10.53,     7.73,    14.31
      129.0,      11.64,    14.10,    10.50,     7.69,    14.27
      130.0,      11.60,    14.06,    10.47,     7.65,    14.23
      131.0,      11.57,    14.02,    10.44,     7.61,    14.19
      132.0,      11.53,    13.99,    10.42,     7.57,    14.15
      133.0,      11.49,    13.95,    10.39,     7.53,    14.11
      134.0,      11.46,    13.91,    10.37,     7.49,    14.07
      135.0,      11.43,    13.87,    10.34,     7.45,    14.03
      136.0,      11.39,    13.84,    10.32,     7.42,    14.00
      137.0,      11.36,    13.80,    10.29,     7.38,    13.96
      138.0,      11.32,    13.76,    10.27,     7.34,    13.92
      139.0,      11.29,    13.73,    10.24,     7.31,    13.89
      140.0,      11.26,    13.70,    10.22,     7.27,    13.85
      141.0,      11.23,    13.66,    10.20,     7.23,    13.82
      142.0,      11.20,    13.63,    10.17,     7.20,    13.78
      143.0,      11.16,    13.59,    10.15,     7.16,    13.75
      144.0,      11.13,    13.56,    10.13,     7.13,    13.71
      145.0,      11.10,    13.53,    10.11,     7.10,    13.68
      146.0,      11.07,    13.50,    10.09,     7.06,    13.64
      147.0,      11.04,    13.47,    10.06,     7.03,    13.61
      148.0,      11.01,    13.43,    10.04,     7.00,    13.57
      149.0,      10.98,    13.40,    10.02,     6.96,    13.54
      150.0,      10.95,    13.37,    10.00,     6.93,    13.51
      151.0,      10.92,    13.34,     9.98,     6.90,    13.47
      152.0,      10.89,    13.31,     9.96,     6.87,    13.44
      153.0,      10.87,    13.28,     9.94,     6.83,    13.41
      154.0,      10.84,    13.25,     9.92,     6.80,    13.38
      155.0,      10.81,    13.22,     9.90,     6.77,    13.34
      156.0,      10.78,    13.20,     9.88,     6.74,    13.31
      157.0,      10.75,    13.17,     9.86,     6.71,    13.28
      158.0,      10.73,    13.14,     9.84,     6.68,    13.25
      159.0,      10.70,    13.11,     9.82,     6.65,    13.22
      160.0,      10.67,    13.08,     9.80,     6.62,    13.18
      161.0,      10.65,    13.06,     9.78,     6.59,    13.15
      162.0,      10.62,    13.03,     9.76,     6.56,    13.12
      163.0,      10.59,    13.00,     9.75,     6.53,    13.09
      164.0,      10.57,    12.97,     9.73,     6.50,    13.06
      165.0,      10.54,    12.95,     9.71,     6.47,    13.03
      166.0,      10.51,    12.92,     9.69,     6.44,    13.00
      167.0,      10.49,    12.90,     9.67,     6.42,    12.97
      168.0,      10.46,    12.87,     9.65,     6.39,    12.94
      169.0,      10.44,    12.84,     9.64,     6.36,    12.91
      170.0,      10.41,    12.82,     9.62,     6.33,    12.88
      171.0,      10.39,    12.79,     9.60,     6.30,    12.85
      172.0,      10.36,    12.77,     9.58,     6.28,    12.82
      173.0,      10.34,    12.74,     9.57,     6.25,    12.79
      174.0,      10.31,    12.72,     9.55,     6.22,    12.76
      175.0,      10.29,    12.69,     9.53,     6.19,    12.73
      176.0,      10.26,    12.67,     9.51,     6.17,    12.70
      177.0,      10.24,    12.64,     9.50,     6.14,    12.67
      178.0,      10.21,    12.62,     9.48,     6.11,    12.64
      179.0,      10.19,    12.59,     9.46,     6.09,    12.61
      180.0,      10.17,    12.57,     9.45,     6.06,    12.59
      181.0,      10.14,    12.54,     9.43,     6.03,    12.56
      182.0,      10.12,    12.52,     9.41,     6.01,    12.53
