Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.50,     1.55,     1.52,     1.52,     1.39
        2.0,       2.25,     2.29,     2.28,     2.28,     2.17
        3.0,       2.86,     2.88,     2.88,     2.88,     2.81
        4.0,       3.39,     3.38,     3.40,     3.40,     3.37
        5.0,       3.87,     3.84,     3.87,     3.87,     3.89
        6.0,       4.30,     4.25,     4.30,     4.30,     4.37
        7.0,       4.71,     4.64,     4.70,     4.70,     4.82
        8.0,       5.10,     5.00,     5.07,     5.07,     5.25
        9.0,       5.47,     5.35,     5.43,     5.43,     5.66
       10.0,       5.82,     5.67,     5.77,     5.77,     6.06
       11.0,       6.16,     5.99,     6.10,     6.10,     6.44
       12.0,       6.48,     6.29,     6.42,     6.42,     6.80
       13.0,       6.79,     6.58,     6.72,     6.72,     7.16
       14.0,       7.10,     6.86,     7.01,     7.01,     7.51
       15.0,       7.39,     7.13,     7.30,     7.30,     7.84
       16.0,       7.68,     7.40,     7.58,     7.58,     8.17
       17.0,       7.96,     7.65,     7.85,     7.85,     8.50
       18.0,       8.24,     7.90,     8.11,     8.11,     8.81
       19.0,       8.50,     8.15,     8.37,     8.37,     9.12
       20.0,       8.76,     8.39,     8.62,     8.62,     9.42
       21.0,       9.02,     8.62,     8.87,     8.87,     9.72
       22.0,       9.27,     8.85,     9.11,     9.11,    10.02
       23.0,       9.52,     9.07,     9.35,     9.35,    10.30
       24.0,       9.76,     9.29,     9.58,     9.58,    10.59
       25.0,      10.00,     9.51,     9.81,     9.81,    10.87
       26.0,      10.23,     9.72,    10.04,    10.04,    11.14
       27.0,      10.47,     9.93,    10.26,    10.26,    11.41
       28.0,      10.69,    10.14,    10.48,    10.48,    11.68
       29.0,      10.92,    10.34,    10.69,    10.69,    11.95
       30.0,      11.14,    10.54,    10.90,    10.90,    12.21
       31.0,      11.36,    10.74,    11.11,    11.11,    12.47
       32.0,      11.57,    10.93,    11.32,    11.32,    12.72
       33.0,      11.78,    11.12,    11.52,    11.52,    12.97
       34.0,      11.99,    11.31,    11.72,    11.72,    13.22
       35.0,      12.20,    11.50,    11.92,    11.92,    13.47
       36.0,      12.41,    11.68,    12.12,    12.12,    13.71
       37.0,      12.61,    11.86,    12.31,    12.31,    13.96
       38.0,      12.81,    12.04,    12.50,    12.50,    14.19
       39.0,      13.01,    12.22,    12.69,    12.69,    14.43
       40.0,      13.20,    12.40,    12.88,    12.88,    14.67
       41.0,      13.40,    12.57,    13.06,    13.06,    14.90
       42.0,      13.59,    12.74,    13.25,    13.25,    15.13
       43.0,      13.78,    12.91,    13.43,    13.43,    15.36
       44.0,      13.97,    13.08,    13.61,    13.61,    15.59
       45.0,      14.16,    13.25,    13.79,    13.79,    15.81
       46.0,      14.34,    13.41,    13.96,    13.96,    16.04
       47.0,      14.53,    13.58,    14.14,    14.14,    16.26
       48.0,      14.71,    13.74,    14.31,    14.31,    16.48
       49.0,      14.89,    13.90,    14.48,    14.48,    16.70
       50.0,      15.07,    14.06,    14.65,    14.65,    16.91
       51.0,      15.25,    14.22,    14.82,    14.82,    17.13
       52.0,      15.42,    14.37,    14.99,    14.99,    17.34
       53.0,      15.60,    14.53,    15.16,    15.16,    17.55
       54.0,      15.77,    14.68,    15.32,    15.32,    17.76
       55.0,      15.94,    14.83,    15.48,    15.48,    17.97
       56.0,      16.11,    14.99,    15.65,    15.65,    18.18
       57.0,      16.28,    15.14,    15.81,    15.81,    18.39
       58.0,      16.45,    15.29,    15.97,    15.97,    18.59
       59.0,      16.62,    15.43,    16.13,    16.13,    18.80
       60.0,      16.79,    15.58,    16.28,    16.28,    19.00
       61.0,      16.95,    15.73,    16.44,    16.44,    19.20
       62.0,      17.12,    15.87,    16.60,    16.60,    19.40
       63.0,      17.28,    16.01,    16.75,    16.75,    19.60
       64.0,      17.44,    16.16,    16.90,    16.90,    19.80
       65.0,      17.60,    16.30,    17.06,    17.06,    19.99
       66.0,      17.76,    16.44,    17.21,    17.21,    20.19
       67.0,      17.92,    16.58,    17.36,    17.36,    20.38
       68.0,      18.08,    16.72,    17.51,    17.51,    20.58
