Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.14,     0.87,     1.29,     1.54,     0.87
        2.0,       2.32,     1.94,     2.55,     2.86,     1.94
        3.0,       3.53,     3.10,     3.81,     4.11,     3.10
        4.0,       4.76,     4.34,     5.05,     5.32,     4.34
        5.0,       6.01,     5.62,     6.30,     6.49,     5.62
        6.0,       7.27,     6.94,     7.53,     7.65,     6.94
        7.0,       8.54,     8.30,     8.77,     8.78,     8.30
        8.0,       9.82,     9.70,    10.00,     9.89,     9.70
        9.0,      11.12,    11.12,    11.23,    11.00,    11.12
       10.0,      12.42,    12.57,    12.46,    12.09,    12.57
       11.0,      13.73,    14.04,    13.68,    13.16,    14.04
       12.0,      15.05,    15.53,    14.90,    14.23,    15.53
       13.0,      16.37,    17.04,    16.13,    15.29,    17.04
       14.0,      17.71,    18.57,    17.35,    16.34,    18.57
       15.0,      19.05,    20.12,    18.57,    17.38,    20.12
       16.0,      20.39,    21.69,    19.78,    18.41,    21.69
       17.0,      21.75,    23.27,    21.00,    19.44,    23.27
       18.0,      23.10,    24.87,    22.22,    20.46,    24.87
       19.0,      24.47,    26.48,    23.43,    21.48,    26.48
       20.0,      25.84,    28.11,    24.65,    22.49,    28.11
       21.0,      27.22,    29.76,    25.86,    23.50,    29.75
       22.0,      28.63,    31.48,    27.07,    24.50,    31.46
       23.0,      30.12,    33.35,    28.31,    25.54,    33.30
       24.0,      31.75,    35.44,    29.61,    26.62,    35.32
       25.0,      33.54,    37.79,    31.01,    27.80,    37.57
       26.0,      35.52,    40.41,    32.55,    29.07,    40.07
       27.0,      37.66,    43.23,    34.22,    30.43,    42.75
       28.0,      39.88,    46.15,    36.00,    31.85,    45.53
       29.0,      42.10,    49.02,    37.82,    33.28,    48.29
       30.0,      44.21,    51.68,    39.61,    34.66,    50.87
       31.0,      46.09,    54.00,    41.27,    35.93,    53.16
       32.0,      47.65,    55.84,    42.71,    37.01,    55.03
       33.0,      48.83,    57.16,    43.86,    37.88,    56.42
       34.0,      49.60,    57.92,    44.68,    38.50,    57.31
       35.0,      49.99,    58.17,    45.16,    38.89,    57.74
       36.0,      50.04,    58.00,    45.32,    39.07,    57.77
       37.0,      49.83,    57.52,    45.22,    39.07,    57.51
       38.0,      49.44,    56.83,    44.92,    38.95,    57.05
       39.0,      48.95,    56.05,    44.50,    38.76,    56.49
       40.0,      48.43,    55.25,    44.03,    38.54,    55.90
       41.0,      47.91,    54.47,    43.55,    38.31,    55.32
       42.0,      47.42,    53.72,    43.09,    38.10,    54.77
       43.0,      46.95,    53.01,    42.65,    37.90,    54.24
       44.0,      46.49,    52.31,    42.24,    37.71,    53.72
       45.0,      46.05,    51.62,    41.83,    37.52,    53.21
       46.0,      45.61,    50.95,    41.44,    37.33,    52.71
       47.0,      45.17,    50.30,    41.05,    37.14,    52.21
       48.0,      44.75,    49.65,    40.66,    36.96,    51.72
       49.0,      44.33,    49.03,    40.28,    36.77,    51.24
       50.0,      43.92,    48.41,    39.91,    36.59,    50.76
       51.0,      43.51,    47.81,    39.54,    36.40,    50.29
       52.0,      43.11,    47.22,    39.17,    36.22,    49.82
       53.0,      42.72,    46.64,    38.81,    36.04,    49.37
       54.0,      42.33,    46.07,    38.46,    35.86,    48.91
       55.0,      41.95,    45.52,    38.11,    35.69,    48.47
       56.0,      41.57,    44.98,    37.77,    35.51,    48.03
       57.0,      41.20,    44.45,    37.43,    35.33,    47.60
       58.0,      40.84,    43.93,    37.09,    35.16,    47.17
       59.0,      40.48,    43.42,    36.77,    34.99,    46.75
       60.0,      40.13,    42.92,    36.44,    34.81,    46.33
       61.0,      39.78,    42.43,    36.12,    34.64,    45.92
       62.0,      39.44,    41.95,    35.81,    34.47,    45.52
       63.0,      39.10,    41.48,    35.49,    34.30,    45.12
       64.0,      38.77,    41.02,    35.19,    34.14,    44.73
       65.0,      38.44,    40.58,    34.88,    33.97,    44.34
       66.0,      38.12,    40.14,    34.59,    33.80,    43.96
       67.0,      37.80,    39.70,    34.29,    33.64,    43.58
       68.0,      37.49,    39.28,    34.00,    33.48,    43.21
       69.0,      37.19,    38.87,    33.72,    33.31,    42.84
       70.0,      36.88,    38.46,    33.43,    33.15,    42.48
       71.0,      36.59,    38.07,    33.16,    32.99,    42.13
       72.0,      36.29,    37.68,    32.88,    32.83,    41.77
       73.0,      36.00,    37.30,    32.61,    32.67,    41.43
       74.0,      35.72,    36.93,    32.34,    32.52,    41.09
       75.0,      35.44,    36.56,    32.08,    32.36,    40.75
       76.0,      35.16,    36.20,    31.82,    32.21,    40.41
       77.0,      34.89,    35.85,    31.57,    32.05,    40.09
       78.0,      34.62,    35.51,    31.31,    31.90,    39.76
       79.0,      34.36,    35.17,    31.07,    31.75,    39.44
       80.0,      34.10,    34.84,    30.82,    31.59,    39.13
       81.0,      33.84,    34.52,    30.58,    31.44,    38.82
       82.0,      33.59,    34.21,    30.34,    31.29,    38.51
       83.0,      33.34,    33.90,    30.10,    31.15,    38.21
       84.0,      33.09,    33.59,    29.87,    31.00,    37.91
       85.0,      32.85,    33.30,    29.64,    30.85,    37.61
       86.0,      32.61,    33.00,    29.42,    30.71,    37.32
       87.0,      32.38,    32.72,    29.19,    30.56,    37.04
       88.0,      32.15,    32.44,    28.97,    30.42,    36.75
       89.0,      31.92,    32.16,    28.75,    30.28,    36.48
       90.0,      31.69,    31.90,    28.54,    30.13,    36.20
       91.0,      31.47,    31.63,    28.33,    29.99,    35.93
       92.0,      31.25,    31.37,    28.12,    29.85,    35.66
       93.0,      31.04,    31.12,    27.91,    29.71,    35.40
       94.0,      30.82,    30.87,    27.71,    29.58,    35.14
       95.0,      30.62,    30.63,    27.51,    29.44,    34.88
       96.0,      30.41,    30.39,    27.31,    29.30,    34.63
       97.0,      30.21,    30.16,    27.12,    29.17,    34.38
       98.0,      30.00,    29.93,    26.93,    29.03,    34.13
       99.0,      29.81,    29.71,    26.74,    28.90,    33.89
      100.0,      29.61,    29.49,    26.55,    28.77,    33.65
      101.0,      29.42,    29.27,    26.36,    28.63,    33.41
      102.0,      29.23,    29.06,    26.18,    28.50,    33.18
      103.0,      29.04,    28.85,    26.00,    28.37,    32.94
