Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.77,     1.31,     1.76,     2.25,     1.76
        2.0,       3.49,     2.89,     3.50,     4.06,     3.50
        3.0,       5.20,     4.59,     5.24,     5.72,     5.24
        4.0,       6.91,     6.38,     6.98,     7.31,     6.98
        5.0,       8.63,     8.22,     8.72,     8.84,     8.72
        6.0,      10.34,    10.13,    10.45,    10.32,    10.45
        7.0,      12.05,    12.07,    12.19,    11.76,    12.19
        8.0,      13.77,    14.06,    13.92,    13.18,    13.92
        9.0,      15.48,    16.08,    15.65,    14.56,    15.65
       10.0,      17.20,    18.13,    17.38,    15.93,    17.38
       11.0,      18.92,    20.21,    19.11,    17.27,    19.11
       12.0,      20.66,    22.34,    20.85,    18.60,    20.84
       13.0,      22.43,    24.57,    22.63,    19.94,    22.58
       14.0,      24.31,    27.01,    24.51,    21.34,    24.40
       15.0,      26.38,    29.74,    26.57,    22.85,    26.34
       16.0,      28.66,    32.83,    28.85,    24.51,    28.47
       17.0,      31.19,    36.27,    31.34,    26.33,    30.81
       18.0,      33.90,    39.97,    34.01,    28.28,    33.35
       19.0,      36.71,    43.79,    36.75,    30.30,    36.01
       20.0,      39.49,    47.53,    39.44,    32.28,    38.69
       21.0,      42.07,    50.98,    41.95,    34.12,    41.24
       22.0,      44.33,    53.95,    44.14,    35.71,    43.53
       23.0,      46.15,    56.27,    45.91,    36.97,    45.44
       24.0,      47.46,    57.88,    47.20,    37.86,    46.88
       25.0,      48.23,    58.77,    48.00,    38.35,    47.82
       26.0,      48.51,    58.98,    48.33,    38.47,    48.26
       27.0,      48.37,    58.65,    48.28,    38.28,    48.27
       28.0,      47.91,    57.92,    47.94,    37.85,    47.94
       29.0,      47.26,    56.95,    47.42,    37.28,    47.37
       30.0,      46.50,    55.87,    46.81,    36.63,    46.68
       31.0,      45.72,    54.79,    46.19,    35.97,    45.94
       32.0,      44.97,    53.75,    45.58,    35.33,    45.22
       33.0,      44.26,    52.77,    45.01,    34.73,    44.53
       34.0,      43.59,    51.84,    44.46,    34.15,    43.89
       35.0,      42.94,    50.94,    43.93,    33.60,    43.27
       36.0,      42.30,    50.07,    43.42,    33.06,    42.66
       37.0,      41.69,    49.23,    42.91,    32.53,    42.07
       38.0,      41.09,    48.42,    42.42,    32.02,    41.49
       39.0,      40.50,    47.63,    41.93,    31.53,    40.92
       40.0,      39.93,    46.86,    41.46,    31.04,    40.36
       41.0,      39.38,    46.12,    41.00,    30.57,    39.82
       42.0,      38.83,    45.40,    40.54,    30.11,    39.29
