Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       3.45,     3.41,     3.41,     3.51,     3.48
        2.0,       5.65,     5.76,     5.76,     5.35,     5.72
        3.0,       7.57,     7.88,     7.89,     6.86,     7.67
        4.0,       9.39,     9.94,     9.96,     8.19,     9.46
        5.0,      11.19,    12.05,    12.08,     9.43,    11.21
        6.0,      13.06,    14.28,    14.31,    10.64,    13.01
        7.0,      15.02,    16.65,    16.66,    11.87,    14.89
        8.0,      17.06,    19.12,    19.10,    13.15,    16.88
        9.0,      19.15,    21.61,    21.56,    14.47,    18.95
       10.0,      21.19,    24.02,    23.92,    15.80,    21.02
       11.0,      23.10,    26.23,    26.08,    17.09,    23.01
       12.0,      24.79,    28.14,    27.95,    18.27,    24.82
       13.0,      26.18,    29.66,    29.44,    19.29,    26.34
       14.0,      27.22,    30.74,    30.51,    20.10,    27.52
       15.0,      27.88,    31.38,    31.17,    20.67,    28.31
       16.0,      28.19,    31.62,    31.44,    20.99,    28.71
       17.0,      28.19,    31.52,    31.40,    21.08,    28.77
       18.0,      27.95,    31.17,    31.13,    20.97,    28.53
       19.0,      27.54,    30.66,    30.71,    20.71,    28.09
       20.0,      27.04,    30.07,    30.21,    20.35,    27.52
       21.0,      26.50,    29.46,    29.70,    19.95,    26.90
       22.0,      25.97,    28.87,    29.20,    19.54,    26.29
       23.0,      25.47,    28.30,    28.72,    19.15,    25.70
       24.0,      24.99,    27.76,    28.26,    18.78,    25.15
       25.0,      24.53,    27.24,    27.82,    18.44,    24.63
       26.0,      24.09,    26.74,    27.39,    18.12,    24.14
       27.0,      23.67,    26.25,    26.96,    17.80,    23.66
       28.0,      23.26,    25.78,    26.56,    17.50,    23.21
       29.0,      22.86,    25.32,    26.16,    17.21,    22.76
       30.0,      22.48,    24.87,    25.77,    16.93,    22.34
       31.0,      22.11,    24.44,    25.39,    16.66,    21.93
       32.0,      21.75,    24.02,    25.02,    16.40,    21.54
       33.0,      21.40,    23.61,    24.67,    16.15,    21.16
       34.0,      21.06,    23.22,    24.32,    15.90,    20.79
       35.0,      20.73,    22.84,    23.98,    15.67,    20.44
       36.0,      20.41,    22.47,    23.65,    15.44,    20.10
       37.0,      20.11,    22.11,    23.33,    15.22,    19.77
       38.0,      19.81,    21.76,    23.02,    15.01,    19.45
       39.0,      19.52,    21.42,    22.71,    14.81,    19.15
       40.0,      19.24,    21.10,    22.42,    14.61,    18.86
       41.0,      18.97,    20.78,    22.13,    14.42,    18.57
       42.0,      18.71,    20.47,    21.85,    14.23,    18.30
       43.0,      18.46,    20.17,    21.57,    14.05,    18.04
       44.0,      18.21,    19.88,    21.31,    13.88,    17.78
       45.0,      17.97,    19.60,    21.05,    13.71,    17.54
       46.0,      17.74,    19.33,    20.79,    13.55,    17.30
       47.0,      17.52,    19.07,    20.55,    13.39,    17.07
       48.0,      17.30,    18.81,    20.31,    13.24,    16.85
       49.0,      17.09,    18.56,    20.08,    13.09,    16.64
       50.0,      16.89,    18.32,    19.85,    12.95,    16.43
       51.0,      16.69,    18.09,    19.63,    12.81,    16.23
       52.0,      16.50,    17.86,    19.41,    12.68,    16.04
       53.0,      16.31,    17.64,    19.20,    12.55,    15.85
       54.0,      16.13,    17.43,    19.00,    12.43,    15.67
       55.0,      15.96,    17.22,    18.80,    12.30,    15.50
       56.0,      15.79,    17.02,    18.61,    12.19,    15.33
       57.0,      15.62,    16.82,    18.42,    12.07,    15.17
       58.0,      15.46,    16.63,    18.23,    11.96,    15.01
       59.0,      15.30,    16.45,    18.05,    11.85,    14.86
       60.0,      15.15,    16.27,    17.88,    11.75,    14.71
       61.0,      15.01,    16.10,    17.71,    11.64,    14.57
       62.0,      14.86,    15.93,    17.54,    11.55,    14.43
       63.0,      14.72,    15.77,    17.38,    11.45,    14.30
       64.0,      14.59,    15.61,    17.22,    11.36,    14.17
       65.0,      14.46,    15.46,    17.07,    11.26,    14.04
       66.0,      14.33,    15.31,    16.92,    11.18,    13.92
       67.0,      14.21,    15.16,    16.78,    11.09,    13.81
       68.0,      14.09,    15.02,    16.63,    11.01,    13.69
       69.0,      13.97,    14.88,    16.50,    10.93,    13.58
       70.0,      13.86,    14.75,    16.36,    10.85,    13.47
       71.0,      13.75,    14.62,    16.23,    10.77,    13.37
       72.0,      13.64,    14.50,    16.10,    10.69,    13.27
       73.0,      13.54,    14.38,    15.98,    10.62,    13.17
       74.0,      13.43,    14.26,    15.85,    10.55,    13.08
       75.0,      13.34,    14.14,    15.74,    10.48,    12.98
       76.0,      13.24,    14.03,    15.62,    10.41,    12.89
       77.0,      13.14,    13.92,    15.51,    10.34,    12.81
       78.0,      13.05,    13.82,    15.40,    10.28,    12.72
       79.0,      12.96,    13.72,    15.29,    10.21,    12.64
       80.0,      12.88,    13.62,    15.18,    10.15,    12.56
       81.0,      12.79,    13.52,    15.08,    10.09,    12.48
       82.0,      12.71,    13.43,    14.98,    10.03,    12.40
       83.0,      12.63,    13.33,    14.89,     9.97,    12.33
       84.0,      12.55,    13.25,    14.79,     9.92,    12.26
       85.0,      12.48,    13.16,    14.70,     9.86,    12.19
       86.0,      12.40,    13.08,    14.61,     9.81,    12.12
       87.0,      12.33,    12.99,    14.52,     9.75,    12.05
       88.0,      12.26,    12.91,    14.43,     9.70,    11.99
       89.0,      12.19,    12.84,    14.35,     9.65,    11.92
       90.0,      12.12,    12.76,    14.27,     9.60,    11.86
       91.0,      12.06,    12.69,    14.19,     9.55,    11.80
       92.0,      11.99,    12.62,    14.11,     9.50,    11.74
       93.0,      11.93,    12.55,    14.03,     9.45,    11.68
       94.0,      11.87,    12.48,    13.96,     9.41,    11.63
       95.0,      11.81,    12.41,    13.88,     9.36,    11.57
       96.0,      11.75,    12.35,    13.81,     9.32,    11.52
       97.0,      11.69,    12.29,    13.74,     9.27,    11.47
       98.0,      11.64,    12.23,    13.68,     9.23,    11.41
       99.0,      11.58,    12.17,    13.61,     9.19,    11.36
      100.0,      11.53,    12.11,    13.54,     9.14,    11.31
      101.0,      11.48,    12.06,    13.48,     9.10,    11.26
      102.0,      11.42,    12.00,    13.42,     9.06,    11.22
      103.0,      11.37,    11.95,    13.36,     9.02,    11.17
      104.0,      11.33,    11.90,    13.30,     8.98,    11.12
      105.0,      11.28,    11.85,    13.24,     8.94,    11.08
      106.0,      11.23,    11.80,    13.19,     8.91,    11.03
      107.0,      11.18,    11.75,    13.13,     8.87,    10.99
      108.0,      11.14,    11.70,    13.08,     8.83,    10.95
      109.0,      11.09,    11.65,    13.02,     8.79,    10.91
      110.0,      11.05,    11.61,    12.97,     8.76,    10.87
      111.0,      11.01,    11.57,    12.92,     8.72,    10.83
      112.0,      10.97,    11.52,    12.87,     8.69,    10.79
      113.0,      10.93,    11.48,    12.82,     8.65,    10.75
      114.0,      10.89,    11.44,    12.77,     8.62,    10.71
      115.0,      10.85,    11.40,    12.73,     8.58,    10.67
      116.0,      10.81,    11.36,    12.68,     8.55,    10.63
      117.0,      10.77,    11.33,    12.64,     8.52,    10.60
      118.0,      10.73,    11.29,    12.59,     8.48,    10.56
      119.0,      10.69,    11.25,    12.55,     8.45,    10.52
      120.0,      10.66,    11.22,    12.51,     8.42,    10.49
      121.0,      10.62,    11.18,    12.47,     8.39,    10.45
      122.0,      10.59,    11.15,    12.43,     8.36,    10.42
      123.0,      10.55,    11.12,    12.39,     8.32,    10.39
      124.0,      10.52,    11.08,    12.35,     8.29,    10.35
      125.0,      10.49,    11.05,    12.31,     8.26,    10.32
      126.0,      10.45,    11.02,    12.28,     8.23,    10.29
      127.0,      10.42,    10.99,    12.24,     8.20,    10.25
      128.0,      10.39,    10.96,    12.20,     8.17,    10.22
      129.0,      10.36,    10.93,    12.17,     8.14,    10.19
      130.0,      10.33,    10.90,    12.13,     8.11,    10.16
      131.0,      10.30,    10.88,    12.10,     8.09,    10.13
      132.0,      10.27,    10.85,    12.07,     8.06,    10.10
      133.0,      10.24,    10.82,    12.04,     8.03,    10.07
      134.0,      10.21,    10.80,    12.00,     8.00,    10.04
      135.0,      10.18,    10.77,    11.97,     7.97,    10.01
      136.0,      10.15,    10.75,    11.94,     7.94,     9.98
      137.0,      10.12,    10.72,    11.91,     7.92,     9.95
      138.0,      10.10,    10.70,    11.88,     7.89,     9.92
      139.0,      10.07,    10.67,    11.85,     7.86,     9.89
      140.0,      10.04,    10.65,    11.82,     7.84,     9.87
      141.0,      10.02,    10.63,    11.80,     7.81,     9.84
      142.0,       9.99,    10.60,    11.77,     7.78,     9.81
      143.0,       9.97,    10.58,    11.74,     7.76,     9.78
