Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.62,     2.59,     2.65,     2.65,     2.59
        2.0,       4.29,     4.28,     4.30,     4.30,     4.28
        3.0,       5.72,     5.74,     5.70,     5.70,     5.74
        4.0,       7.01,     7.07,     6.96,     6.96,     7.07
        5.0,       8.22,     8.31,     8.12,     8.12,     8.31
        6.0,       9.35,     9.48,     9.22,     9.22,     9.48
        7.0,      10.43,    10.60,    10.26,    10.26,    10.60
        8.0,      11.47,    11.68,    11.26,    11.26,    11.68
        9.0,      12.47,    12.72,    12.22,    12.22,    12.72
       10.0,      13.44,    13.73,    13.15,    13.15,    13.73
       11.0,      14.38,    14.71,    14.05,    14.05,    14.72
       12.0,      15.31,    15.68,    14.94,    14.93,    15.70
       13.0,      16.27,    16.67,    15.85,    15.83,    16.72
       14.0,      17.28,    17.70,    16.83,    16.79,    17.82
       15.0,      18.39,    18.81,    17.90,    17.85,    19.01
       16.0,      19.60,    20.00,    19.09,    19.02,    20.30
       17.0,      20.90,    21.26,    20.38,    20.31,    21.67
       18.0,      22.26,    22.56,    21.73,    21.66,    23.07
       19.0,      23.60,    23.86,    23.07,    23.03,    24.45
       20.0,      24.87,    25.09,    24.34,    24.32,    25.73
       21.0,      26.00,    26.21,    25.46,    25.47,    26.85
       22.0,      26.92,    27.15,    26.36,    26.41,    27.76
       23.0,      27.60,    27.89,    27.01,    27.08,    28.43
       24.0,      28.03,    28.42,    27.38,    27.47,    28.86
       25.0,      28.21,    28.73,    27.48,    27.57,    29.07
       26.0,      28.18,    28.87,    27.36,    27.43,    29.08
       27.0,      27.99,    28.85,    27.06,    27.10,    28.94
       28.0,      27.68,    28.74,    26.64,    26.63,    28.71
       29.0,      27.31,    28.56,    26.15,    26.08,    28.43
       30.0,      26.91,    28.36,    25.64,    25.51,    28.14
       31.0,      26.52,    28.16,    25.14,    24.94,    27.85
       32.0,      26.15,    27.96,    24.67,    24.40,    27.58
       33.0,      25.80,    27.77,    24.22,    23.90,    27.31
       34.0,      25.46,    27.59,    23.79,    23.41,    27.06
       35.0,      25.14,    27.40,    23.38,    22.95,    26.81
       36.0,      24.82,    27.23,    22.99,    22.51,    26.58
       37.0,      24.52,    27.05,    22.61,    22.08,    26.35
       38.0,      24.23,    26.87,    22.24,    21.67,    26.12
       39.0,      23.94,    26.70,    21.89,    21.27,    25.91
       40.0,      23.67,    26.53,    21.55,    20.89,    25.70
       41.0,      23.40,    26.37,    21.23,    20.52,    25.49
       42.0,      23.15,    26.20,    20.91,    20.17,    25.30
       43.0,      22.90,    26.04,    20.61,    19.83,    25.11
       44.0,      22.66,    25.88,    20.32,    19.50,    24.92
       45.0,      22.42,    25.72,    20.04,    19.19,    24.74
       46.0,      22.20,    25.56,    19.77,    18.89,    24.57
       47.0,      21.98,    25.41,    19.51,    18.60,    24.40
       48.0,      21.77,    25.26,    19.26,    18.32,    24.23
       49.0,      21.56,    25.11,    19.02,    18.05,    24.07
       50.0,      21.36,    24.96,    18.79,    17.79,    23.92
       51.0,      21.17,    24.81,    18.57,    17.54,    23.77
       52.0,      20.99,    24.67,    18.36,    17.30,    23.62
       53.0,      20.81,    24.53,    18.15,    17.07,    23.48
       54.0,      20.63,    24.39,    17.95,    16.84,    23.34
       55.0,      20.46,    24.25,    17.76,    16.63,    23.21
       56.0,      20.30,    24.11,    17.57,    16.42,    23.08
       57.0,      20.14,    23.98,    17.40,    16.22,    22.96
       58.0,      19.98,    23.85,    17.22,    16.03,    22.83
       59.0,      19.83,    23.71,    17.06,    15.85,    22.71
       60.0,      19.69,    23.58,    16.90,    15.67,    22.60
       61.0,      19.55,    23.46,    16.75,    15.50,    22.49
       62.0,      19.41,    23.33,    16.60,    15.33,    22.38
       63.0,      19.28,    23.21,    16.46,    15.18,    22.27
       64.0,      19.15,    23.08,    16.32,    15.02,    22.17
       65.0,      19.02,    22.96,    16.18,    14.88,    22.07
       66.0,      18.90,    22.84,    16.06,    14.73,    21.97
       67.0,      18.78,    22.72,    15.93,    14.60,    21.87
       68.0,      18.67,    22.61,    15.81,    14.46,    21.78
       69.0,      18.55,    22.49,    15.70,    14.34,    21.69
       70.0,      18.45,    22.38,    15.59,    14.21,    21.60
       71.0,      18.34,    22.26,    15.48,    14.10,    21.52
       72.0,      18.24,    22.15,    15.38,    13.98,    21.43
       73.0,      18.14,    22.04,    15.28,    13.87,    21.35
       74.0,      18.04,    21.94,    15.18,    13.77,    21.27
       75.0,      17.94,    21.83,    15.09,    13.66,    21.20
       76.0,      17.85,    21.72,    15.00,    13.56,    21.12
       77.0,      17.76,    21.62,    14.91,    13.47,    21.05
       78.0,      17.67,    21.52,    14.83,    13.38,    20.98
       79.0,      17.59,    21.42,    14.74,    13.29,    20.91
       80.0,      17.51,    21.32,    14.67,    13.20,    20.84
       81.0,      17.43,    21.22,    14.59,    13.12,    20.78
       82.0,      17.35,    21.12,    14.52,    13.04,    20.71
       83.0,      17.27,    21.02,    14.45,    12.96,    20.65
       84.0,      17.19,    20.93,    14.38,    12.89,    20.59
       85.0,      17.12,    20.83,    14.31,    12.81,    20.53
       86.0,      17.05,    20.74,    14.24,    12.74,    20.47
       87.0,      16.98,    20.65,    14.18,    12.68,    20.41
       88.0,      16.91,    20.56,    14.12,    12.61,    20.35
       89.0,      16.84,    20.47,    14.06,    12.55,    20.30
       90.0,      16.78,    20.38,    14.01,    12.49,    20.24
       91.0,      16.72,    20.29,    13.95,    12.43,    20.19
       92.0,      16.65,    20.21,    13.90,    12.37,    20.14
       93.0,      16.59,    20.12,    13.85,    12.31,    20.09
       94.0,      16.53,    20.04,    13.80,    12.26,    20.04
       95.0,      16.48,    19.96,    13.75,    12.21,    19.99
       96.0,      16.42,    19.87,    13.70,    12.16,    19.95
       97.0,      16.36,    19.79,    13.65,    12.11,    19.90
       98.0,      16.31,    19.71,    13.61,    12.06,    19.85
       99.0,      16.26,    19.63,    13.56,    12.02,    19.81
      100.0,      16.20,    19.56,    13.52,    11.97,    19.77
      101.0,      16.15,    19.48,    13.48,    11.93,    19.72
      102.0,      16.10,    19.40,    13.44,    11.89,    19.68
      103.0,      16.05,    19.33,    13.40,    11.84,    19.64
      104.0,      16.01,    19.25,    13.36,    11.80,    19.60
      105.0,      15.96,    19.18,    13.33,    11.77,    19.56
      106.0,      15.91,    19.11,    13.29,    11.73,    19.52
      107.0,      15.87,    19.03,    13.26,    11.69,    19.48
      108.0,      15.82,    18.96,    13.22,    11.66,    19.45
      109.0,      15.78,    18.89,    13.19,    11.62,    19.41
      110.0,      15.74,    18.82,    13.16,    11.59,    19.37
