Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.92,     1.74,     2.04,     2.01,     1.89
        2.0,       3.41,     3.20,     3.54,     3.51,     3.38
        3.0,       4.77,     4.58,     4.89,     4.86,     4.75
        4.0,       6.05,     5.90,     6.14,     6.12,     6.04
        5.0,       7.28,     7.19,     7.33,     7.32,     7.28
        6.0,       8.47,     8.44,     8.47,     8.48,     8.48
        7.0,       9.63,     9.68,     9.58,     9.60,     9.66
        8.0,      10.75,    10.88,    10.65,    10.69,    10.80
        9.0,      11.86,    12.08,    11.69,    11.75,    11.92
       10.0,      12.94,    13.25,    12.71,    12.79,    13.02
       11.0,      14.01,    14.42,    13.71,    13.80,    14.10
       12.0,      15.06,    15.57,    14.69,    14.80,    15.17
       13.0,      16.09,    16.71,    15.66,    15.79,    16.22
       14.0,      17.12,    17.83,    16.61,    16.76,    17.26
       15.0,      18.13,    18.95,    17.54,    17.71,    18.29
       16.0,      19.12,    20.06,    18.47,    18.65,    19.31
       17.0,      20.11,    21.17,    19.38,    19.59,    20.32
       18.0,      21.09,    22.26,    20.28,    20.51,    21.31
       19.0,      22.06,    23.35,    21.17,    21.42,    22.30
       20.0,      23.02,    24.43,    22.05,    22.32,    23.28
       21.0,      23.97,    25.51,    22.92,    23.21,    24.25
       22.0,      24.92,    26.58,    23.79,    24.11,    25.22
       23.0,      25.89,    27.68,    24.67,    25.03,    26.19
       24.0,      26.91,    28.86,    25.60,    26.01,    27.18
       25.0,      28.02,    30.15,    26.58,    27.09,    28.24
       26.0,      29.23,    31.59,    27.65,    28.28,    29.38
       27.0,      30.54,    33.18,    28.80,    29.57,    30.61
       28.0,      31.93,    34.87,    30.00,    30.92,    31.94
       29.0,      33.35,    36.60,    31.21,    32.28,    33.30
       30.0,      34.71,    38.26,    32.38,    33.56,    34.65
       31.0,      35.96,    39.76,    33.45,    34.71,    35.92
       32.0,      37.01,    40.99,    34.36,    35.65,    37.04
       33.0,      37.82,    41.91,    35.09,    36.34,    37.94
       34.0,      38.35,    42.45,    35.60,    36.77,    38.59
       35.0,      38.61,    42.64,    35.90,    36.94,    38.98
       36.0,      38.63,    42.50,    36.02,    36.88,    39.11
       37.0,      38.44,    42.10,    35.98,    36.64,    39.04
       38.0,      38.11,    41.52,    35.83,    36.28,    38.80
       39.0,      37.69,    40.83,    35.62,    35.86,    38.45
       40.0,      37.24,    40.10,    35.38,    35.41,    38.05
       41.0,      36.79,    39.39,    35.14,    34.98,    37.65
       42.0,      36.36,    38.72,    34.91,    34.57,    37.26
       43.0,      35.97,    38.08,    34.69,    34.19,    36.90
       44.0,      35.59,    37.49,    34.49,    33.82,    36.56
       45.0,      35.22,    36.91,    34.28,    33.47,    36.24
       46.0,      34.87,    36.36,    34.08,    33.12,    35.93
       47.0,      34.53,    35.82,    33.88,    32.79,    35.62
       48.0,      34.20,    35.30,    33.68,    32.47,    35.32
       49.0,      33.87,    34.80,    33.49,    32.16,    35.03
       50.0,      33.56,    34.32,    33.30,    31.86,    34.75
       51.0,      33.25,    33.85,    33.11,    31.56,    34.47
       52.0,      32.95,    33.40,    32.92,    31.28,    34.20
       53.0,      32.66,    32.97,    32.73,    31.00,    33.93
       54.0,      32.38,    32.54,    32.55,    30.74,    33.67
       55.0,      32.10,    32.14,    32.37,    30.48,    33.42
       56.0,      31.83,    31.74,    32.19,    30.23,    33.17
       57.0,      31.57,    31.36,    32.01,    29.98,    32.93
       58.0,      31.31,    30.99,    31.83,    29.75,    32.69
       59.0,      31.07,    30.63,    31.66,    29.52,    32.45
       60.0,      30.82,    30.28,    31.49,    29.29,    32.23
       61.0,      30.59,    29.95,    31.32,    29.08,    32.00
       62.0,      30.36,    29.63,    31.15,    28.87,    31.78
       63.0,      30.13,    29.31,    30.99,    28.66,    31.57
       64.0,      29.91,    29.01,    30.82,    28.46,    31.36
       65.0,      29.70,    28.71,    30.66,    28.27,    31.15
       66.0,      29.49,    28.43,    30.50,    28.08,    30.95
       67.0,      29.29,    28.15,    30.34,    27.90,    30.75
       68.0,      29.09,    27.88,    30.18,    27.72,    30.55
       69.0,      28.89,    27.62,    30.03,    27.55,    30.36
       70.0,      28.70,    27.37,    29.88,    27.38,    30.17
       71.0,      28.51,    27.13,    29.72,    27.22,    29.99
       72.0,      28.33,    26.89,    29.57,    27.06,    29.81
       73.0,      28.15,    26.66,    29.42,    26.90,    29.63
       74.0,      27.98,    26.44,    29.28,    26.75,    29.45
       75.0,      27.81,    26.22,    29.13,    26.60,    29.28
       76.0,      27.64,    26.01,    28.99,    26.46,    29.11
       77.0,      27.48,    25.81,    28.85,    26.32,    28.95
       78.0,      27.32,    25.61,    28.71,    26.18,    28.78
       79.0,      27.16,    25.42,    28.57,    26.05,    28.62
       80.0,      27.01,    25.23,    28.43,    25.92,    28.46
       81.0,      26.86,    25.05,    28.29,    25.79,    28.30
       82.0,      26.71,    24.88,    28.16,    25.67,    28.15
       83.0,      26.57,    24.71,    28.02,    25.55,    28.00
       84.0,      26.43,    24.54,    27.89,    25.43,    27.85
       85.0,      26.29,    24.38,    27.76,    25.31,    27.70
       86.0,      26.15,    24.22,    27.63,    25.20,    27.55
       87.0,      26.02,    24.07,    27.50,    25.09,    27.41
       88.0,      25.89,    23.92,    27.38,    24.98,    27.27
       89.0,      25.76,    23.77,    27.25,    24.88,    27.13
       90.0,      25.63,    23.63,    27.13,    24.77,    26.99
       91.0,      25.51,    23.49,    27.00,    24.67,    26.85
       92.0,      25.38,    23.36,    26.88,    24.57,    26.72
       93.0,      25.26,    23.23,    26.76,    24.48,    26.59
       94.0,      25.15,    23.10,    26.64,    24.38,    26.46
       95.0,      25.03,    22.98,    26.52,    24.29,    26.33
       96.0,      24.91,    22.86,    26.41,    24.20,    26.20
       97.0,      24.80,    22.74,    26.29,    24.11,    26.07
       98.0,      24.69,    22.62,    26.18,    24.02,    25.95
       99.0,      24.58,    22.51,    26.06,    23.93,    25.82
      100.0,      24.48,    22.40,    25.95,    23.85,    25.70
      101.0,      24.37,    22.29,    25.84,    23.77,    25.58
      102.0,      24.27,    22.19,    25.73,    23.69,    25.46
      103.0,      24.16,    22.08,    25.62,    23.61,    25.34
      104.0,      24.06,    21.98,    25.51,    23.53,    25.23
      105.0,      23.96,    21.88,    25.40,    23.45,    25.11
      106.0,      23.86,    21.79,    25.30,    23.37,    25.00
      107.0,      23.77,    21.69,    25.19,    23.30,    24.88
      108.0,      23.67,    21.60,    25.09,    23.22,    24.77
      109.0,      23.58,    21.51,    24.99,    23.15,    24.66
      110.0,      23.48,    21.42,    24.88,    23.08,    24.55
      111.0,      23.39,    21.34,    24.78,    23.01,    24.44
      112.0,      23.30,    21.25,    24.68,    22.94,    24.33
      113.0,      23.21,    21.17,    24.58,    22.87,    24.22
      114.0,      23.12,    21.09,    24.48,    22.81,    24.12
      115.0,      23.04,    21.00,    24.39,    22.74,    24.01
      116.0,      22.95,    20.93,    24.29,    22.67,    23.91
      117.0,      22.86,    20.85,    24.19,    22.61,    23.80
      118.0,      22.78,    20.77,    24.10,    22.55,    23.70
      119.0,      22.70,    20.70,    24.01,    22.48,    23.60
      120.0,      22.61,    20.62,    23.91,    22.42,    23.50
