Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.49,     1.41,     1.59,     1.57,     1.41
        2.0,       2.80,     2.70,     2.91,     2.89,     2.70
        3.0,       4.05,     3.95,     4.16,     4.14,     3.95
        4.0,       5.26,     5.18,     5.34,     5.33,     5.18
        5.0,       6.44,     6.39,     6.50,     6.49,     6.39
        6.0,       7.60,     7.59,     7.62,     7.62,     7.59
        7.0,       8.75,     8.77,     8.72,     8.73,     8.77
        8.0,       9.88,     9.94,     9.80,     9.82,     9.94
        9.0,      10.99,    11.11,    10.87,    10.90,    11.11
       10.0,      12.10,    12.26,    11.91,    11.96,    12.26
       11.0,      13.19,    13.41,    12.95,    13.01,    13.41
       12.0,      14.28,    14.56,    13.97,    14.04,    14.56
       13.0,      15.36,    15.69,    14.99,    15.07,    15.69
       14.0,      16.43,    16.83,    15.99,    16.09,    16.83
       15.0,      17.50,    17.95,    16.99,    17.10,    17.95
       16.0,      18.56,    19.08,    17.97,    18.10,    19.08
       17.0,      19.61,    20.20,    18.95,    19.09,    20.20
       18.0,      20.66,    21.31,    19.93,    20.08,    21.31
       19.0,      21.70,    22.42,    20.89,    21.06,    22.42
       20.0,      22.74,    23.53,    21.85,    22.03,    23.53
       21.0,      23.77,    24.64,    22.80,    23.00,    24.64
       22.0,      24.82,    25.79,    23.76,    23.97,    25.77
       23.0,      25.92,    27.00,    24.75,    24.97,    26.97
       24.0,      27.12,    28.33,    25.80,    26.03,    28.31
       25.0,      28.45,    29.81,    26.95,    27.20,    29.82
       26.0,      29.92,    31.44,    28.22,    28.51,    31.52
       27.0,      31.52,    33.17,    29.59,    29.94,    33.39
       28.0,      33.19,    34.95,    31.03,    31.46,    35.33
       29.0,      34.87,    36.70,    32.48,    33.01,    37.27
       30.0,      36.44,    38.33,    33.87,    34.50,    39.06
       31.0,      37.82,    39.74,    35.12,    35.83,    40.61
       32.0,      38.94,    40.87,    36.16,    36.94,    41.81
       33.0,      39.75,    41.68,    36.94,    37.75,    42.61
       34.0,      40.21,    42.16,    37.45,    38.24,    42.99
       35.0,      40.36,    42.35,    37.68,    38.41,    42.98
       36.0,      40.22,    42.28,    37.68,    38.30,    42.63
       37.0,      39.87,    42.02,    37.48,    37.95,    42.03
       38.0,      39.37,    41.64,    37.14,    37.44,    41.27
       39.0,      38.80,    41.20,    36.73,    36.84,    40.44
       40.0,      38.21,    40.75,    36.30,    36.21,    39.60
       41.0,      37.64,    40.31,    35.87,    35.58,    38.79
       42.0,      37.09,    39.89,    35.45,    34.99,    38.02
       43.0,      36.57,    39.48,    35.06,    34.43,    37.30
       44.0,      36.07,    39.09,    34.69,    33.90,    36.61
       45.0,      35.59,    38.70,    34.32,    33.39,    35.94
       46.0,      35.12,    38.31,    33.96,    32.89,    35.31
       47.0,      34.66,    37.94,    33.61,    32.40,    34.69
       48.0,      34.22,    37.57,    33.27,    31.93,    34.10
       49.0,      33.79,    37.21,    32.93,    31.47,    33.53
       50.0,      33.37,    36.85,    32.60,    31.03,    32.98
       51.0,      32.96,    36.50,    32.28,    30.60,    32.45
       52.0,      32.56,    36.16,    31.96,    30.18,    31.95
       53.0,      32.18,    35.83,    31.65,    29.77,    31.46
       54.0,      31.80,    35.50,    31.35,    29.38,    30.99
       55.0,      31.44,    35.17,    31.05,    28.99,    30.53
       56.0,      31.08,    34.85,    30.76,    28.62,    30.10
       57.0,      30.74,    34.54,    30.48,    28.26,    29.68
       58.0,      30.40,    34.23,    30.20,    27.90,    29.27
       59.0,      30.07,    33.93,    29.92,    27.56,    28.88
       60.0,      29.76,    33.64,    29.65,    27.23,    28.51
       61.0,      29.45,    33.35,    29.39,    26.91,    28.14
       62.0,      29.14,    33.06,    29.13,    26.59,    27.79
       63.0,      28.85,    32.78,    28.88,    26.29,    27.46
       64.0,      28.57,    32.51,    28.63,    25.99,    27.13
       65.0,      28.29,    32.24,    28.39,    25.70,    26.82
       66.0,      28.02,    31.97,    28.15,    25.42,    26.52
       67.0,      27.75,    31.71,    27.92,    25.15,    26.23
       68.0,      27.49,    31.45,    27.69,    24.88,    25.95
       69.0,      27.24,    31.20,    27.47,    24.62,    25.68
       70.0,      27.00,    30.96,    27.25,    24.37,    25.42
       71.0,      26.76,    30.71,    27.03,    24.13,    25.17
       72.0,      26.53,    30.47,    26.82,    23.89,    24.93
       73.0,      26.30,    30.24,    26.61,    23.66,    24.69
       74.0,      26.08,    30.01,    26.41,    23.43,    24.47
       75.0,      25.86,    29.79,    26.21,    23.21,    24.25
       76.0,      25.65,    29.56,    26.02,    23.00,    24.04
       77.0,      25.45,    29.35,    25.83,    22.79,    23.83
       78.0,      25.25,    29.13,    25.64,    22.59,    23.64
       79.0,      25.05,    28.92,    25.45,    22.39,    23.45
       80.0,      24.86,    28.71,    25.27,    22.20,    23.27
       81.0,      24.68,    28.51,    25.10,    22.02,    23.09
       82.0,      24.50,    28.31,    24.92,    21.83,    22.92
       83.0,      24.32,    28.12,    24.75,    21.66,    22.75
       84.0,      24.15,    27.92,    24.59,    21.48,    22.59
       85.0,      23.98,    27.73,    24.42,    21.32,    22.44
       86.0,      23.81,    27.55,    24.26,    21.15,    22.29
       87.0,      23.65,    27.37,    24.10,    20.99,    22.14
       88.0,      23.49,    27.19,    23.95,    20.84,    22.00
       89.0,      23.34,    27.01,    23.79,    20.69,    21.87
       90.0,      23.19,    26.84,    23.64,    20.54,    21.74
       91.0,      23.04,    26.67,    23.50,    20.40,    21.61
       92.0,      22.90,    26.50,    23.35,    20.26,    21.49
       93.0,      22.76,    26.33,    23.21,    20.12,    21.37
       94.0,      22.62,    26.17,    23.07,    19.98,    21.25
       95.0,      22.49,    26.01,    22.94,    19.85,    21.14
       96.0,      22.36,    25.86,    22.80,    19.73,    21.03
       97.0,      22.23,    25.70,    22.67,    19.60,    20.93
       98.0,      22.10,    25.55,    22.54,    19.48,    20.83
       99.0,      21.98,    25.40,    22.41,    19.36,    20.73
      100.0,      21.86,    25.26,    22.29,    19.25,    20.63
      101.0,      21.74,    25.11,    22.17,    19.14,    20.54
      102.0,      21.62,    24.97,    22.05,    19.03,    20.45
      103.0,      21.51,    24.83,    21.93,    18.92,    20.36
      104.0,      21.40,    24.70,    21.81,    18.81,    20.28
      105.0,      21.29,    24.56,    21.70,    18.71,    20.19
      106.0,      21.18,    24.43,    21.59,    18.61,    20.11
      107.0,      21.08,    24.30,    21.48,    18.51,    20.03
      108.0,      20.98,    24.17,    21.37,    18.42,    19.96
      109.0,      20.88,    24.05,    21.26,    18.32,    19.88
      110.0,      20.78,    23.92,    21.15,    18.23,    19.81
      111.0,      20.68,    23.80,    21.05,    18.14,    19.74
      112.0,      20.59,    23.68,    20.95,    18.05,    19.67
      113.0,      20.50,    23.57,    20.85,    17.97,    19.60
      114.0,      20.41,    23.45,    20.75,    17.88,    19.54
      115.0,      20.32,    23.34,    20.65,    17.80,    19.47
      116.0,      20.23,    23.23,    20.56,    17.72,    19.41
      117.0,      20.14,    23.11,    20.47,    17.64,    19.35
      118.0,      20.06,    23.01,    20.37,    17.56,    19.29
      119.0,      19.98,    22.90,    20.28,    17.49,    19.23
      120.0,      19.89,    22.80,    20.19,    17.41,    19.18
      121.0,      19.81,    22.69,    20.11,    17.34,    19.12
      122.0,      19.74,    22.59,    20.02,    17.27,    19.07
      123.0,      19.66,    22.49,    19.93,    17.20,    19.02
      124.0,      19.58,    22.39,    19.85,    17.13,    18.96
      125.0,      19.51,    22.30,    19.77,    17.06,    18.91
      126.0,      19.44,    22.20,    19.69,    16.99,    18.86
      127.0,      19.36,    22.11,    19.61,    16.93,    18.82
      128.0,      19.29,    22.01,    19.53,    16.87,    18.77
      129.0,      19.22,    21.92,    19.45,    16.80,    18.72
      130.0,      19.16,    21.83,    19.37,    16.74,    18.68
      131.0,      19.09,    21.75,    19.30,    16.68,    18.63
      132.0,      19.02,    21.66,    19.22,    16.62,    18.59
      133.0,      18.96,    21.57,    19.15,    16.56,    18.54
      134.0,      18.89,    21.49,    19.08,    16.51,    18.50
      135.0,      18.83,    21.41,    19.01,    16.45,    18.46
      136.0,      18.77,    21.32,    18.94,    16.39,    18.42
      137.0,      18.71,    21.24,    18.87,    16.34,    18.38
      138.0,      18.65,    21.17,    18.80,    16.29,    18.34
      139.0,      18.59,    21.09,    18.73,    16.23,    18.30
      140.0,      18.53,    21.01,    18.67,    16.18,    18.26
      141.0,      18.47,    20.93,    18.60,    16.13,    18.22
      142.0,      18.41,    20.86,    18.53,    16.08,    18.18
      143.0,      18.36,    20.79,    18.47,    16.03,    18.15
      144.0,      18.30,    20.71,    18.41,    15.98,    18.11
      145.0,      18.25,    20.64,    18.35,    15.93,    18.08
      146.0,      18.20,    20.57,    18.28,    15.88,    18.04
      147.0,      18.14,    20.50,    18.22,    15.84,    18.01
      148.0,      18.09,    20.43,    18.16,    15.79,    17.97
      149.0,      18.04,    20.37,    18.10,    15.75,    17.94
      150.0,      17.99,    20.30,    18.05,    15.70,    17.90
      151.0,      17.94,    20.24,    17.99,    15.66,    17.87
      152.0,      17.89,    20.17,    17.93,    15.61,    17.84
      153.0,      17.84,    20.11,    17.88,    15.57,    17.81
      154.0,      17.79,    20.04,    17.82,    15.53,    17.78
      155.0,      17.74,    19.98,    17.77,    15.48,    17.74
      156.0,      17.70,    19.92,    17.71,    15.44,    17.71
      157.0,      17.65,    19.86,    17.66,    15.40,    17.68
      158.0,      17.60,    19.80,    17.60,    15.36,    17.65
      159.0,      17.56,    19.74,    17.55,    15.32,    17.62
      160.0,      17.51,    19.69,    17.50,    15.28,    17.59
      161.0,      17.47,    19.63,    17.45,    15.24,    17.56
      162.0,      17.43,    19.57,    17.40,    15.20,    17.53
      163.0,      17.38,    19.52,    17.35,    15.17,    17.50
      164.0,      17.34,    19.46,    17.30,    15.13,    17.47
      165.0,      17.30,    19.41,    17.25,    15.09,    17.44
      166.0,      17.26,    19.36,    17.20,    15.05,    17.42
      167.0,      17.22,    19.30,    17.15,    15.02,    17.39
      168.0,      17.17,    19.25,    17.11,    14.98,    17.36
      169.0,      17.13,    19.20,    17.06,    14.94,    17.33
      170.0,      17.09,    19.15,    17.01,    14.91,    17.31
      171.0,      17.05,    19.10,    16.97,    14.87,    17.28
      172.0,      17.02,    19.05,    16.92,    14.84,    17.25
      173.0,      16.98,    19.00,    16.88,    14.80,    17.22
      174.0,      16.94,    18.95,    16.83,    14.77,    17.20
      175.0,      16.90,    18.91,    16.79,    14.74,    17.17
      176.0,      16.86,    18.86,    16.74,    14.70,    17.14
      177.0,      16.82,    18.81,    16.70,    14.67,    17.12
      178.0,      16.79,    18.77,    16.66,    14.63,    17.09
      179.0,      16.75,    18.72,    16.61,    14.60,    17.07
      180.0,      16.71,    18.68,    16.57,    14.57,    17.04
      181.0,      16.68,    18.63,    16.53,    14.54,    17.01
      182.0,      16.64,    18.59,    16.49,    14.51,    16.99
      183.0,      16.61,    18.55,    16.45,    14.47,    16.96
      184.0,      16.57,    18.50,    16.41,    14.44,    16.94
      185.0,      16.54,    18.46,    16.37,    14.41,    16.91
      186.0,      16.50,    18.42,    16.33,    14.38,    16.89
      187.0,      16.47,    18.38,    16.29,    14.35,    16.86
      188.0,      16.44,    18.34,    16.25,    14.32,    16.84
      189.0,      16.40,    18.30,    16.21,    14.29,    16.81
      190.0,      16.37,    18.26,    16.17,    14.26,    16.79
      191.0,      16.34,    18.22,    16.13,    14.23,    16.76
      192.0,      16.30,    18.18,    16.09,    14.20,    16.74
      193.0,      16.27,    18.14,    16.06,    14.17,    16.72
      194.0,      16.24,    18.10,    16.02,    14.14,    16.69
      195.0,      16.21,    18.07,    15.98,    14.11,    16.67
      196.0,      16.17,    18.03,    15.95,    14.08,    16.64
      197.0,      16.14,    17.99,    15.91,    14.05,    16.62
      198.0,      16.11,    17.96,    15.87,    14.02,    16.60
      199.0,      16.08,    17.92,    15.84,    13.99,    16.57
      200.0,      16.05,    17.88,    15.80,    13.96,    16.55
      201.0,      16.02,    17.85,    15.76,    13.94,    16.53
      202.0,      15.99,    17.81,    15.73,    13.91,    16.50
      203.0,      15.96,    17.78,    15.69,    13.88,    16.48
      204.0,      15.93,    17.75,    15.66,    13.85,    16.45
      205.0,      15.90,    17.71,    15.63,    13.82,    16.43
