Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       2.41,     1.99,     2.31,     2.84,     2.51
        2.0,       4.90,     4.43,     4.80,     5.33,     5.04
        3.0,       7.52,     7.20,     7.42,     7.78,     7.67
        4.0,      10.37,    10.39,    10.25,    10.32,    10.52
        5.0,      13.58,    14.14,    13.40,    13.07,    13.70
        6.0,      17.21,    18.51,    16.97,    16.08,    17.29
        7.0,      21.28,    23.50,    20.99,    19.36,    21.28
        8.0,      25.69,    28.97,    25.39,    22.82,    25.57
        9.0,      30.27,    34.70,    30.04,    26.35,    29.99
       10.0,      34.79,    40.38,    34.71,    29.77,    34.32
       11.0,      39.01,    45.68,    39.16,    32.91,    38.30
       12.0,      42.69,    50.29,    43.12,    35.61,    41.73
       13.0,      45.64,    53.98,    46.40,    37.75,    44.44
       14.0,      47.76,    56.59,    48.84,    39.26,    46.33
       15.0,      49.01,    58.11,    50.40,    40.16,    47.39
       16.0,      49.47,    58.60,    51.11,    40.48,    47.70
       17.0,      49.26,    58.25,    51.08,    40.33,    47.37
       18.0,      48.54,    57.26,    50.48,    39.84,    46.59
       19.0,      47.51,    55.88,    49.50,    39.14,    45.53
       20.0,      46.32,    54.31,    48.31,    38.34,    44.33
       21.0,      45.10,    52.70,    47.06,    37.53,    43.12
       22.0,      43.92,    51.16,    45.83,    36.74,    41.95
       23.0,      42.81,    49.70,    44.68,    36.00,    40.84
       24.0,      41.75,    48.32,    43.60,    35.29,    39.79
       25.0,      40.74,    47.00,    42.57,    34.62,    38.78
       26.0,      39.77,    45.72,    41.58,    33.97,    37.81
       27.0,      38.84,    44.50,    40.63,    33.35,    36.89
       28.0,      37.94,    43.33,    39.71,    32.74,    35.99
       29.0,      37.08,    42.20,    38.83,    32.17,    35.13
       30.0,      36.25,    41.11,    37.98,    31.61,    34.31
       31.0,      35.45,    40.07,    37.17,    31.07,    33.51
       32.0,      34.69,    39.06,    36.38,    30.56,    32.75
       33.0,      33.95,    38.10,    35.63,    30.06,    32.01
       34.0,      33.24,    37.17,    34.90,    29.58,    31.31
       35.0,      32.56,    36.28,    34.20,    29.12,    30.63
       36.0,      31.90,    35.42,    33.53,    28.68,    29.98
       37.0,      31.27,    34.60,    32.88,    28.25,    29.35
       38.0,      30.66,    33.81,    32.25,    27.84,    28.74
       39.0,      30.08,    33.05,    31.65,    27.45,    28.16
       40.0,      29.51,    32.31,    31.07,    27.07,    27.60
       41.0,      28.97,    31.61,    30.52,    26.70,    27.07
       42.0,      28.45,    30.93,    29.98,    26.35,    26.55
       43.0,      27.95,    30.28,    29.47,    26.00,    26.05
       44.0,      27.47,    29.65,    28.97,    25.68,    25.58
       45.0,      27.00,    29.05,    28.49,    25.36,    25.12
       46.0,      26.56,    28.47,    28.03,    25.06,    24.67
       47.0,      26.13,    27.91,    27.58,    24.76,    24.25
       48.0,      25.71,    27.38,    27.16,    24.48,    23.84
       49.0,      25.32,    26.86,    26.74,    24.21,    23.45
       50.0,      24.93,    26.37,    26.35,    23.94,    23.07
       51.0,      24.56,    25.89,    25.96,    23.69,    22.70
       52.0,      24.21,    25.43,    25.60,    23.45,    22.35
       53.0,      23.86,    24.99,    25.24,    23.21,    22.01
       54.0,      23.53,    24.57,    24.90,    22.98,    21.69
       55.0,      23.22,    24.16,    24.57,    22.76,    21.38
       56.0,      22.91,    23.76,    24.25,    22.55,    21.08
       57.0,      22.62,    23.39,    23.94,    22.35,    20.79
       58.0,      22.33,    23.02,    23.64,    22.15,    20.51
       59.0,      22.06,    22.67,    23.36,    21.96,    20.24
       60.0,      21.79,    22.34,    23.08,    21.78,    19.98
       61.0,      21.54,    22.01,    22.82,    21.60,    19.73
       62.0,      21.29,    21.70,    22.56,    21.43,    19.49
       63.0,      21.06,    21.40,    22.31,    21.26,    19.26
       64.0,      20.83,    21.11,    22.07,    21.10,    19.04
       65.0,      20.61,    20.83,    21.84,    20.95,    18.82
       66.0,      20.40,    20.56,    21.62,    20.80,    18.62
       67.0,      20.20,    20.30,    21.40,    20.66,    18.42
       68.0,      20.00,    20.06,    21.20,    20.52,    18.23
       69.0,      19.81,    19.82,    20.99,    20.38,    18.04
       70.0,      19.63,    19.59,    20.80,    20.25,    17.87
       71.0,      19.45,    19.36,    20.61,    20.12,    17.69
       72.0,      19.28,    19.15,    20.43,    20.00,    17.53
       73.0,      19.11,    18.94,    20.26,    19.88,    17.37
       74.0,      18.95,    18.75,    20.09,    19.77,    17.22
       75.0,      18.80,    18.55,    19.92,    19.66,    17.07
       76.0,      18.65,    18.37,    19.76,    19.55,    16.93
       77.0,      18.51,    18.19,    19.61,    19.45,    16.79
       78.0,      18.37,    18.02,    19.46,    19.35,    16.66
       79.0,      18.24,    17.86,    19.32,    19.25,    16.53
       80.0,      18.11,    17.70,    19.18,    19.15,    16.40
       81.0,      17.98,    17.54,    19.04,    19.06,    16.28
       82.0,      17.86,    17.40,    18.91,    18.97,    16.17
       83.0,      17.75,    17.25,    18.79,    18.89,    16.06
       84.0,      17.63,    17.12,    18.66,    18.80,    15.95
       85.0,      17.52,    16.98,    18.54,    18.72,    15.85
       86.0,      17.42,    16.85,    18.43,    18.64,    15.75
       87.0,      17.32,    16.73,    18.32,    18.57,    15.65
       88.0,      17.22,    16.61,    18.21,    18.49,    15.56
       89.0,      17.12,    16.50,    18.10,    18.42,    15.47
       90.0,      17.03,    16.39,    18.00,    18.35,    15.38
       91.0,      16.94,    16.28,    17.90,    18.28,    15.30
       92.0,      16.85,    16.17,    17.80,    18.21,    15.21
       93.0,      16.77,    16.07,    17.71,    18.15,    15.14
       94.0,      16.68,    15.98,    17.62,    18.08,    15.06
       95.0,      16.61,    15.88,    17.53,    18.02,    14.99
       96.0,      16.53,    15.79,    17.44,    17.96,    14.91
       97.0,      16.45,    15.71,    17.36,    17.90,    14.84
       98.0,      16.38,    15.62,    17.28,    17.85,    14.78
       99.0,      16.31,    15.54,    17.20,    17.79,    14.71
      100.0,      16.24,    15.46,    17.12,    17.74,    14.65
      101.0,      16.18,    15.39,    17.05,    17.68,    14.59
      102.0,      16.11,    15.31,    16.97,    17.63,    14.53
      103.0,      16.05,    15.24,    16.90,    17.58,    14.47
      104.0,      15.99,    15.17,    16.83,    17.53,    14.42
      105.0,      15.93,    15.10,    16.76,    17.48,    14.36
      106.0,      15.87,    15.04,    16.69,    17.43,    14.31
      107.0,      15.81,    14.98,    16.63,    17.39,    14.26
      108.0,      15.76,    14.91,    16.57,    17.34,    14.21
      109.0,      15.71,    14.85,    16.50,    17.30,    14.16
      110.0,      15.65,    14.80,    16.44,    17.26,    14.12
      111.0,      15.60,    14.74,    16.38,    17.21,    14.07
      112.0,      15.55,    14.69,    16.33,    17.17,    14.03
      113.0,      15.51,    14.64,    16.27,    17.13,    13.99
      114.0,      15.46,    14.58,    16.21,    17.09,    13.94
      115.0,      15.41,    14.54,    16.16,    17.05,    13.90
      116.0,      15.37,    14.49,    16.11,    17.01,    13.87
      117.0,      15.32,    14.44,    16.05,    16.97,    13.83
      118.0,      15.28,    14.40,    16.00,    16.94,    13.79
      119.0,      15.24,    14.35,    15.95,    16.90,    13.75
