Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.70,     1.70,     1.65,     1.75,     1.71
        2.0,       2.67,     2.67,     2.61,     2.71,     2.67
        3.0,       3.47,     3.47,     3.42,     3.50,     3.47
        4.0,       4.18,     4.18,     4.15,     4.20,     4.18
        5.0,       4.83,     4.83,     4.81,     4.84,     4.83
        6.0,       5.44,     5.44,     5.43,     5.43,     5.44
        7.0,       6.01,     6.01,     6.02,     5.99,     6.01
        8.0,       6.55,     6.55,     6.58,     6.52,     6.55
        9.0,       7.07,     7.07,     7.12,     7.03,     7.07
       10.0,       7.57,     7.57,     7.63,     7.51,     7.57
       11.0,       8.05,     8.05,     8.13,     7.98,     8.05
       12.0,       8.52,     8.52,     8.62,     8.43,     8.52
       13.0,       8.97,     8.97,     9.09,     8.87,     8.97
       14.0,       9.42,     9.41,     9.55,     9.29,     9.41
       15.0,       9.85,     9.84,    10.00,     9.71,     9.84
       16.0,      10.27,    10.26,    10.44,    10.11,    10.26
       17.0,      10.68,    10.67,    10.87,    10.51,    10.67
       18.0,      11.08,    11.07,    11.29,    10.90,    11.07
       19.0,      11.48,    11.47,    11.71,    11.28,    11.47
       20.0,      11.87,    11.86,    12.11,    11.65,    11.85
       21.0,      12.25,    12.24,    12.51,    12.02,    12.23
       22.0,      12.63,    12.61,    12.91,    12.38,    12.61
       23.0,      12.99,    12.98,    13.30,    12.73,    12.97
       24.0,      13.36,    13.34,    13.68,    13.08,    13.34
       25.0,      13.72,    13.70,    14.06,    13.42,    13.69
       26.0,      14.07,    14.05,    14.43,    13.76,    14.05
       27.0,      14.42,    14.40,    14.79,    14.09,    14.39
       28.0,      14.76,    14.74,    15.16,    14.42,    14.74
       29.0,      15.10,    15.08,    15.52,    14.74,    15.07
       30.0,      15.44,    15.42,    15.87,    15.06,    15.41
       31.0,      15.77,    15.75,    16.22,    15.38,    15.74
       32.0,      16.10,    16.07,    16.57,    15.69,    16.07
       33.0,      16.42,    16.40,    16.91,    16.00,    16.39
       34.0,      16.74,    16.72,    17.25,    16.30,    16.71
       35.0,      17.06,    17.03,    17.59,    16.61,    17.02
       36.0,      17.38,    17.35,    17.92,    16.91,    17.34
       37.0,      17.69,    17.66,    18.25,    17.20,    17.65
       38.0,      18.00,    17.97,    18.58,    17.49,    17.95
       39.0,      18.30,    18.27,    18.90,    17.78,    18.26
       40.0,      18.61,    18.57,    19.22,    18.07,    18.56
       41.0,      18.91,    18.87,    19.54,    18.36,    18.86
       42.0,      19.21,    19.17,    19.86,    18.64,    19.16
       43.0,      19.50,    19.46,    20.17,    18.92,    19.45
       44.0,      19.79,    19.75,    20.48,    19.20,    19.74
       45.0,      20.08,    20.04,    20.79,    19.47,    20.03
       46.0,      20.37,    20.33,    21.10,    19.74,    20.32
       47.0,      20.66,    20.62,    21.40,    20.02,    20.60
       48.0,      20.94,    20.90,    21.71,    20.28,    20.89
       49.0,      21.23,    21.18,    22.01,    20.55,    21.17
       50.0,      21.51,    21.46,    22.30,    20.82,    21.44
       51.0,      21.78,    21.74,    22.60,    21.08,    21.72
       52.0,      22.06,    22.01,    22.89,    21.34,    22.00
       53.0,      22.33,    22.28,    23.19,    21.60,    22.27
       54.0,      22.61,    22.55,    23.48,    21.85,    22.54
       55.0,      22.88,    22.82,    23.77,    22.11,    22.81
       56.0,      23.15,    23.09,    24.05,    22.36,    23.08
       57.0,      23.41,    23.36,    24.34,    22.62,    23.34
       58.0,      23.68,    23.62,    24.62,    22.87,    23.61
       59.0,      23.94,    23.89,    24.91,    23.12,    23.87
       60.0,      24.22,    24.15,    25.19,    23.38,    24.14
       61.0,      24.50,    24.42,    25.50,    23.65,    24.44
       62.0,      24.82,    24.71,    25.82,    23.96,    24.77
       63.0,      25.17,    25.03,    26.19,    24.31,    25.14
       64.0,      25.55,    25.38,    26.58,    24.70,    25.56
       65.0,      25.97,    25.77,    27.00,    25.10,    26.01
       66.0,      26.40,    26.17,    27.43,    25.52,    26.47
       67.0,      26.81,    26.58,    27.84,    25.92,    26.91
       68.0,      27.19,    26.96,    28.22,    26.27,    27.30
       69.0,      27.50,    27.29,    28.55,    26.56,    27.61
       70.0,      27.73,    27.55,    28.80,    26.76,    27.82
       71.0,      27.87,    27.72,    28.96,    26.87,    27.93
       72.0,      27.92,    27.80,    29.04,    26.89,    27.93
       73.0,      27.88,    27.78,    29.05,    26.84,    27.84
       74.0,      27.77,    27.69,    28.99,    26.71,    27.67
       75.0,      27.60,    27.53,    28.88,    26.54,    27.45
       76.0,      27.41,    27.34,    28.75,    26.35,    27.20
       77.0,      27.21,    27.12,    28.61,    26.15,    26.95
       78.0,      27.01,    26.91,    28.47,    25.96,    26.69
       79.0,      26.81,    26.70,    28.33,    25.77,    26.46
       80.0,      26.63,    26.50,    28.21,    25.59,    26.23
       81.0,      26.46,    26.32,    28.09,    25.43,    26.02
       82.0,      26.30,    26.15,    27.97,    25.27,    25.81
       83.0,      26.14,    25.98,    27.86,    25.11,    25.61
       84.0,      25.99,    25.82,    27.75,    24.96,    25.42
       85.0,      25.84,    25.66,    27.64,    24.82,    25.23
       86.0,      25.69,    25.51,    27.54,    24.67,    25.05
       87.0,      25.55,    25.36,    27.44,    24.54,    24.88
       88.0,      25.42,    25.22,    27.34,    24.41,    24.71
       89.0,      25.29,    25.08,    27.25,    24.28,    24.55
       90.0,      25.16,    24.94,    27.16,    24.15,    24.39
       91.0,      25.04,    24.81,    27.07,    24.04,    24.24
       92.0,      24.92,    24.68,    26.98,    23.92,    24.10
       93.0,      24.80,    24.56,    26.89,    23.81,    23.95
       94.0,      24.69,    24.44,    26.81,    23.70,    23.82
       95.0,      24.58,    24.32,    26.73,    23.59,    23.68
       96.0,      24.47,    24.21,    26.65,    23.49,    23.56
       97.0,      24.37,    24.09,    26.57,    23.39,    23.43
       98.0,      24.27,    23.99,    26.50,    23.29,    23.31
       99.0,      24.17,    23.88,    26.42,    23.20,    23.19
      100.0,      24.08,    23.78,    26.35,    23.11,    23.08
      101.0,      23.99,    23.68,    26.28,    23.02,    22.97
      102.0,      23.90,    23.58,    26.21,    22.94,    22.86
      103.0,      23.81,    23.48,    26.14,    22.85,    22.76
      104.0,      23.72,    23.39,    26.08,    22.77,    22.66
      105.0,      23.64,    23.30,    26.01,    22.69,    22.56
      106.0,      23.56,    23.21,    25.95,    22.62,    22.47
      107.0,      23.48,    23.12,    25.88,    22.54,    22.38
      108.0,      23.41,    23.04,    25.82,    22.47,    22.29
      109.0,      23.33,    22.96,    25.76,    22.40,    22.21
      110.0,      23.26,    22.88,    25.70,    22.33,    22.12
      111.0,      23.19,    22.80,    25.65,    22.26,    22.04
      112.0,      23.12,    22.72,    25.59,    22.20,    21.96
      113.0,      23.05,    22.64,    25.53,    22.14,    21.89
      114.0,      22.98,    22.57,    25.48,    22.07,    21.81
      115.0,      22.92,    22.50,    25.43,    22.01,    21.74
      116.0,      22.86,    22.43,    25.37,    21.96,    21.67
      117.0,      22.79,    22.36,    25.32,    21.90,    21.60
      118.0,      22.73,    22.29,    25.27,    21.84,    21.53
      119.0,      22.67,    22.22,    25.22,    21.79,    21.47
      120.0,      22.62,    22.16,    25.17,    21.74,    21.41
      121.0,      22.56,    22.09,    25.12,    21.68,    21.34
      122.0,      22.50,    22.03,    25.07,    21.63,    21.29
      123.0,      22.45,    21.97,    25.02,    21.58,    21.23
      124.0,      22.40,    21.90,    24.98,    21.53,    21.17
      125.0,      22.34,    21.84,    24.93,    21.49,    21.11
      126.0,      22.29,    21.79,    24.89,    21.44,    21.06
      127.0,      22.24,    21.73,    24.84,    21.40,    21.01
      128.0,      22.19,    21.67,    24.80,    21.35,    20.96
      129.0,      22.14,    21.61,    24.75,    21.31,    20.91
      130.0,      22.10,    21.56,    24.71,    21.26,    20.86
      131.0,      22.05,    21.50,    24.67,    21.22,    20.81
      132.0,      22.00,    21.45,    24.62,    21.18,    20.76
      133.0,      21.96,    21.40,    24.58,    21.14,    20.72
      134.0,      21.91,    21.34,    24.54,    21.10,    20.67
      135.0,      21.87,    21.29,    24.50,    21.06,    20.63
      136.0,      21.83,    21.24,    24.46,    21.03,    20.58
      137.0,      21.78,    21.19,    24.42,    20.99,    20.54
      138.0,      21.74,    21.14,    24.38,    20.95,    20.50
      139.0,      21.70,    21.09,    24.34,    20.92,    20.46
      140.0,      21.66,    21.04,    24.30,    20.88,    20.42
      141.0,      21.62,    21.00,    24.26,    20.85,    20.38
      142.0,      21.58,    20.95,    24.22,    20.81,    20.34
      143.0,      21.54,    20.90,    24.19,    20.78,    20.30
      144.0,      21.50,    20.85,    24.15,    20.74,    20.27
      145.0,      21.47,    20.81,    24.11,    20.71,    20.23
      146.0,      21.43,    20.76,    24.07,    20.68,    20.20
      147.0,      21.39,    20.72,    24.04,    20.65,    20.16
      148.0,      21.35,    20.67,    24.00,    20.62,    20.13
      149.0,      21.32,    20.63,    23.96,    20.59,    20.09
      150.0,      21.28,    20.59,    23.93,    20.55,    20.06
      151.0,      21.25,    20.54,    23.89,    20.52,    20.03
      152.0,      21.21,    20.50,    23.86,    20.49,    20.00
      153.0,      21.18,    20.46,    23.82,    20.47,    19.96
      154.0,      21.14,    20.42,    23.79,    20.44,    19.93
      155.0,      21.11,    20.37,    23.75,    20.41,    19.90
      156.0,      21.08,    20.33,    23.72,    20.38,    19.87
      157.0,      21.04,    20.29,    23.68,    20.35,    19.84
      158.0,      21.01,    20.25,    23.65,    20.32,    19.81
      159.0,      20.98,    20.21,    23.61,    20.30,    19.78
      160.0,      20.94,    20.17,    23.58,    20.27,    19.75
      161.0,      20.91,    20.13,    23.55,    20.24,    19.73
      162.0,      20.88,    20.09,    23.51,    20.22,    19.70
      163.0,      20.85,    20.05,    23.48,    20.19,    19.67
      164.0,      20.82,    20.01,    23.45,    20.16,    19.64
      165.0,      20.79,    19.97,    23.41,    20.14,    19.62
      166.0,      20.76,    19.94,    23.38,    20.11,    19.59
      167.0,      20.72,    19.90,    23.35,    20.09,    19.56
      168.0,      20.69,    19.86,    23.32,    20.06,    19.54
      169.0,      20.66,    19.82,    23.28,    20.04,    19.51
      170.0,      20.63,    19.78,    23.25,    20.01,    19.49
      171.0,      20.60,    19.75,    23.22,    19.99,    19.46
      172.0,      20.57,    19.71,    23.19,    19.96,    19.44
      173.0,      20.54,    19.67,    23.15,    19.94,    19.41
      174.0,      20.52,    19.64,    23.12,    19.92,    19.39
      175.0,      20.49,    19.60,    23.09,    19.89,    19.36
      176.0,      20.46,    19.56,    23.06,    19.87,    19.34
      177.0,      20.43,    19.53,    23.03,    19.85,    19.31
      178.0,      20.40,    19.49,    23.00,    19.82,    19.29
      179.0,      20.37,    19.46,    22.97,    19.80,    19.27
      180.0,      20.34,    19.42,    22.94,    19.78,    19.24
      181.0,      20.32,    19.38,    22.90,    19.75,    19.22
      182.0,      20.29,    19.35,    22.87,    19.73,    19.20
      183.0,      20.26,    19.31,    22.84,    19.71,    19.17
      184.0,      20.23,    19.28,    22.81,    19.69,    19.15
      185.0,      20.20,    19.24,    22.78,    19.66,    19.13
      186.0,      20.18,    19.21,    22.75,    19.64,    19.11
      187.0,      20.15,    19.17,    22.72,    19.62,    19.08
      188.0,      20.12,    19.14,    22.69,    19.60,    19.06
      189.0,      20.10,    19.11,    22.66,    19.58,    19.04
      190.0,      20.07,    19.07,    22.63,    19.56,    19.02
      191.0,      20.04,    19.04,    22.60,    19.53,    19.00
      192.0,      20.01,    19.00,    22.57,    19.51,    18.97
      193.0,      19.99,    18.97,    22.54,    19.49,    18.95
      194.0,      19.96,    18.94,    22.51,    19.47,    18.93
      195.0,      19.94,    18.90,    22.48,    19.45,    18.91
      196.0,      19.91,    18.87,    22.45,    19.43,    18.89
      197.0,      19.88,    18.83,    22.42,    19.41,    18.87
      198.0,      19.86,    18.80,    22.39,    19.39,    18.85
      199.0,      19.83,    18.77,    22.36,    19.36,    18.83
      200.0,      19.80,    18.73,    22.33,    19.34,    18.81
      201.0,      19.78,    18.70,    22.30,    19.32,    18.79
      202.0,      19.75,    18.67,    22.27,    19.30,    18.76
      203.0,      19.73,    18.64,    22.24,    19.28,    18.74
      204.0,      19.70,    18.60,    22.22,    19.26,    18.72
      205.0,      19.68,    18.57,    22.19,    19.24,    18.70
