Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.00,     0.00,     0.00,     0.00,     0.00
        1.0,       1.87,     1.74,     1.74,     2.12,     1.89
        2.0,       3.17,     3.08,     3.08,     3.30,     3.21
        3.0,       4.32,     4.31,     4.31,     4.27,     4.39
        4.0,       5.38,     5.45,     5.45,     5.13,     5.47
        5.0,       6.38,     6.55,     6.55,     5.92,     6.50
        6.0,       7.34,     7.61,     7.61,     6.65,     7.47
        7.0,       8.26,     8.64,     8.64,     7.34,     8.41
        8.0,       9.15,     9.64,     9.64,     8.00,     9.32
        9.0,      10.02,    10.62,    10.62,     8.62,    10.20
       10.0,      10.86,    11.59,    11.59,     9.22,    11.06
       11.0,      11.69,    12.53,    12.53,     9.80,    11.90
       12.0,      12.50,    13.46,    13.46,    10.36,    12.72
       13.0,      13.30,    14.38,    14.38,    10.91,    13.53
       14.0,      14.08,    15.28,    15.28,    11.44,    14.32
       15.0,      14.85,    16.17,    16.17,    11.95,    15.10
       16.0,      15.61,    17.05,    17.05,    12.46,    15.87
       17.0,      16.36,    17.92,    17.92,    12.95,    16.63
       18.0,      17.09,    18.79,    18.79,    13.43,    17.37
       19.0,      17.82,    19.64,    19.64,    13.90,    18.11
       20.0,      18.54,    20.49,    20.49,    14.37,    18.84
       21.0,      19.26,    21.33,    21.33,    14.82,    19.56
       22.0,      19.96,    22.16,    22.16,    15.27,    20.27
       23.0,      20.67,    22.99,    22.99,    15.71,    20.98
       24.0,      21.38,    23.85,    23.83,    16.15,    21.69
       25.0,      22.12,    24.74,    24.71,    16.60,    22.43
       26.0,      22.91,    25.70,    25.64,    17.08,    23.22
       27.0,      23.76,    26.73,    26.65,    17.59,    24.06
       28.0,      24.65,    27.81,    27.73,    18.13,    24.95
       29.0,      25.58,    28.92,    28.84,    18.70,    25.87
       30.0,      26.51,    30.02,    29.95,    19.27,    26.79
       31.0,      27.39,    31.05,    31.01,    19.81,    27.67
       32.0,      28.18,    31.97,    31.97,    20.31,    28.47
       33.0,      28.84,    32.73,    32.77,    20.72,    29.13
       34.0,      29.34,    33.32,    33.38,    21.03,    29.65
       35.0,      29.68,    33.72,    33.78,    21.23,    30.00
       36.0,      29.86,    33.94,    33.98,    21.32,    30.19
       37.0,      29.89,    34.01,    34.01,    21.30,    30.24
       38.0,      29.81,    33.96,    33.89,    21.21,    30.18
       39.0,      29.65,    33.84,    33.69,    21.06,    30.03
       40.0,      29.45,    33.67,    33.42,    20.88,    29.85
       41.0,      29.24,    33.50,    33.15,    20.68,    29.64
       42.0,      29.04,    33.34,    32.88,    20.49,    29.45
       43.0,      28.85,    33.18,    32.63,    20.32,    29.27
       44.0,      28.67,    33.04,    32.40,    20.15,    29.10
       45.0,      28.50,    32.91,    32.18,    20.00,    28.94
       46.0,      28.34,    32.77,    31.96,    19.85,    28.78
       47.0,      28.18,    32.64,    31.75,    19.70,    28.62
       48.0,      28.02,    32.50,    31.54,    19.56,    28.46
       49.0,      27.86,    32.37,    31.33,    19.42,    28.31
       50.0,      27.70,    32.23,    31.13,    19.29,    28.15
       51.0,      27.54,    32.10,    30.92,    19.15,    28.00
       52.0,      27.39,    31.97,    30.72,    19.02,    27.85
       53.0,      27.24,    31.84,    30.53,    18.89,    27.70
       54.0,      27.09,    31.71,    30.33,    18.77,    27.55
       55.0,      26.94,    31.58,    30.14,    18.64,    27.40
       56.0,      26.79,    31.44,    29.95,    18.52,    27.25
       57.0,      26.65,    31.32,    29.76,    18.40,    27.11
       58.0,      26.50,    31.19,    29.57,    18.28,    26.96
       59.0,      26.36,    31.06,    29.39,    18.17,    26.82
       60.0,      26.22,    30.93,    29.21,    18.05,    26.67
       61.0,      26.08,    30.80,    29.03,    17.94,    26.53
       62.0,      25.94,    30.68,    28.85,    17.83,    26.39
       63.0,      25.80,    30.55,    28.67,    17.72,    26.25
       64.0,      25.66,    30.42,    28.50,    17.62,    26.11
       65.0,      25.53,    30.30,    28.33,    17.51,    25.97
       66.0,      25.39,    30.17,    28.16,    17.41,    25.84
       67.0,      25.26,    30.05,    27.99,    17.31,    25.70
       68.0,      25.13,    29.92,    27.83,    17.21,    25.56
       69.0,      25.00,    29.80,    27.66,    17.11,    25.43
       70.0,      24.87,    29.68,    27.50,    17.01,    25.29
       71.0,      24.74,    29.56,    27.34,    16.92,    25.16
       72.0,      24.62,    29.43,    27.18,    16.82,    25.03
       73.0,      24.49,    29.31,    27.02,    16.73,    24.90
       74.0,      24.37,    29.19,    26.86,    16.64,    24.77
       75.0,      24.24,    29.07,    26.71,    16.55,    24.64
       76.0,      24.12,    28.95,    26.56,    16.46,    24.51
       77.0,      24.00,    28.83,    26.41,    16.37,    24.38
       78.0,      23.88,    28.71,    26.26,    16.28,    24.26
       79.0,      23.76,    28.60,    26.11,    16.19,    24.13
       80.0,      23.64,    28.48,    25.96,    16.11,    24.01
       81.0,      23.52,    28.36,    25.81,    16.02,    23.88
       82.0,      23.40,    28.24,    25.67,    15.94,    23.76
       83.0,      23.29,    28.13,    25.53,    15.86,    23.64
       84.0,      23.17,    28.01,    25.38,    15.78,    23.52
       85.0,      23.06,    27.90,    25.24,    15.69,    23.39
       86.0,      22.94,    27.78,    25.11,    15.62,    23.27
       87.0,      22.83,    27.67,    24.97,    15.54,    23.16
       88.0,      22.72,    27.55,    24.83,    15.46,    23.04
       89.0,      22.61,    27.44,    24.70,    15.38,    22.92
       90.0,      22.50,    27.33,    24.56,    15.30,    22.80
       91.0,      22.39,    27.21,    24.43,    15.23,    22.69
       92.0,      22.28,    27.10,    24.30,    15.15,    22.57
       93.0,      22.17,    26.99,    24.17,    15.08,    22.46
       94.0,      22.07,    26.88,    24.04,    15.00,    22.34
       95.0,      21.96,    26.77,    23.91,    14.93,    22.23
       96.0,      21.85,    26.66,    23.78,    14.86,    22.12
       97.0,      21.75,    26.55,    23.65,    14.79,    22.00
       98.0,      21.64,    26.44,    23.53,    14.72,    21.89
       99.0,      21.54,    26.33,    23.40,    14.65,    21.78
      100.0,      21.44,    26.22,    23.28,    14.58,    21.67
      101.0,      21.33,    26.11,    23.16,    14.51,    21.56
      102.0,      21.23,    26.01,    23.04,    14.44,    21.46
      103.0,      21.13,    25.90,    22.91,    14.37,    21.35
      104.0,      21.03,    25.79,    22.80,    14.30,    21.24
      105.0,      20.93,    25.69,    22.68,    14.23,    21.13
      106.0,      20.83,    25.58,    22.56,    14.17,    21.03
      107.0,      20.74,    25.47,    22.44,    14.10,    20.92
      108.0,      20.64,    25.37,    22.33,    14.04,    20.82
      109.0,      20.54,    25.26,    22.21,    13.97,    20.72
      110.0,      20.44,    25.16,    22.10,    13.91,    20.61
      111.0,      20.35,    25.06,    21.98,    13.84,    20.51
      112.0,      20.25,    24.95,    21.87,    13.78,    20.41
      113.0,      20.16,    24.85,    21.76,    13.71,    20.31
      114.0,      20.06,    24.75,    21.65,    13.65,    20.21
      115.0,      19.97,    24.65,    21.54,    13.59,    20.11
      116.0,      19.88,    24.55,    21.43,    13.53,    20.01
      117.0,      19.78,    24.44,    21.32,    13.46,    19.91
      118.0,      19.69,    24.34,    21.21,    13.40,    19.81
      119.0,      19.60,    24.24,    21.10,    13.34,    19.71
      120.0,      19.51,    24.14,    21.00,    13.28,    19.61
      121.0,      19.42,    24.04,    20.89,    13.22,    19.52
      122.0,      19.33,    23.95,    20.79,    13.16,    19.42
      123.0,      19.24,    23.85,    20.68,    13.10,    19.33
      124.0,      19.15,    23.75,    20.58,    13.04,    19.23
      125.0,      19.06,    23.65,    20.48,    12.99,    19.14
      126.0,      18.97,    23.55,    20.37,    12.93,    19.04
      127.0,      18.89,    23.46,    20.27,    12.87,    18.95
      128.0,      18.80,    23.36,    20.17,    12.81,    18.86
      129.0,      18.71,    23.26,    20.07,    12.76,    18.77
      130.0,      18.63,    23.17,    19.97,    12.70,    18.67
      131.0,      18.54,    23.07,    19.87,    12.64,    18.58
      132.0,      18.46,    22.98,    19.78,    12.59,    18.49
      133.0,      18.37,    22.88,    19.68,    12.53,    18.40
