Radius (km), Mean (m/s), NE (m/s), SE (m/s), SW (m/s), NW (m/s)
        0.0,       0.01,     0.01,     0.00,     0.01,     0.02
        1.0,       2.49,     2.13,     2.55,     3.12,     2.17
        2.0,       5.37,     5.04,     5.39,     5.89,     5.14
        3.0,       8.69,     8.63,     8.56,     8.73,     8.82
        4.0,      12.53,    12.97,    12.14,    11.76,    13.27
        5.0,      16.93,    18.06,    16.16,    15.03,    18.48
        6.0,      21.81,    23.83,    20.58,    18.49,    24.34
        7.0,      27.00,    30.04,    25.28,    22.04,    30.62
        8.0,      32.25,    36.40,    30.07,    25.54,    36.99
        9.0,      37.28,    42.53,    34.70,    28.80,    43.08
       10.0,      41.81,    48.08,    38.93,    31.68,    48.55
       11.0,      45.60,    52.73,    42.55,    34.05,    53.09
       12.0,      48.49,    56.26,    45.40,    35.82,    56.50
       13.0,      50.41,    58.57,    47.41,    36.97,    58.71
       14.0,      51.40,    59.71,    48.58,    37.54,    59.76
       15.0,      51.56,    59.81,    49.01,    37.61,    59.80
       16.0,      51.07,    59.08,    48.84,    37.30,    59.06
       17.0,      50.15,    57.80,    48.24,    36.74,    57.80
       18.0,      48.97,    56.21,    47.38,    36.04,    56.26
       19.0,      47.71,    54.50,    46.42,    35.30,    54.63
       20.0,      46.47,    52.83,    45.45,    34.56,    53.04
       21.0,      45.28,    51.24,    44.51,    33.86,    51.52
       22.0,      44.16,    49.74,    43.62,    33.19,    50.09
       23.0,      43.09,    48.31,    42.77,    32.55,    48.72
       24.0,      42.05,    46.93,    41.94,    31.93,    47.41
       25.0,      41.05,    45.61,    41.13,    31.33,    46.15
       26.0,      40.09,    44.35,    40.34,    30.74,    44.93
       27.0,      39.16,    43.13,    39.57,    30.18,    43.76
       28.0,      38.26,    41.95,    38.82,    29.63,    42.64
       29.0,      37.40,    40.83,    38.09,    29.10,    41.56
       30.0,      36.56,    39.74,    37.38,    28.59,    40.53
       31.0,      35.75,    38.70,    36.69,    28.09,    39.53
       32.0,      34.97,    37.70,    36.01,    27.61,    38.57
       33.0,      34.22,    36.74,    35.35,    27.15,    37.65
       34.0,      33.50,    35.82,    34.71,    26.70,    36.77
       35.0,      32.80,    34.93,    34.08,    26.26,    35.92
       36.0,      32.12,    34.07,    33.47,    25.84,    35.10
       37.0,      31.47,    33.25,    32.88,    25.43,    34.31
       38.0,      30.84,    32.46,    32.30,    25.03,    33.55
       39.0,      30.23,    31.70,    31.73,    24.65,    32.82
       40.0,      29.64,    30.97,    31.18,    24.28,    32.12
       41.0,      29.07,    30.27,    30.65,    23.92,    31.45
       42.0,      28.52,    29.59,    30.12,    23.57,    30.80
