sid,name,time,lat,lon
2018186N10325,BERYL,2018-07-04 12:00:00,10.0,-34.9
2018186N10325,BERYL,2018-07-04 15:00:00,10.1,-35.7
2018186N10325,BERYL,2018-07-04 18:00:00,10.1,-36.5
2018186N10325,BERYL,2018-07-04 21:00:00,10.1,-37.3
2018186N10325,BERYL,2018-07-05 00:00:00,10.1,-38.0
2018186N10325,BERYL,2018-07-05 03:00:00,10.1,-38.8
2018186N10325,BERYL,2018-07-05 06:00:00,10.1,-39.5
2018186N10325,BERYL,2018-07-05 09:00:00,10.1,-40.2
2018186N10325,BERYL,2018-07-05 12:00:00,10.2,-40.9
2018186N10325,BERYL,2018-07-05 15:00:00,10.3,-41.6
2018186N10325,BERYL,2018-07-05 18:00:00,10.3,-42.3
2018186N10325,BERYL,2018-07-05 21:00:00,10.3,-42.9
2018186N10325,BERYL,2018-07-06 00:00:00,10.3,-43.4
2018186N10325,BERYL,2018-07-06 03:00:00,10.4,-44.0
2018186N10325,BERYL,2018-07-06 06:00:00,10.5,-44.6
2018186N10325,BERYL,2018-07-06 09:00:00,10.6,-45.3
2018186N10325,BERYL,2018-07-06 12:00:00,10.7,-46.0
2018186N10325,BERYL,2018-07-06 15:00:00,10.7,-46.7
2018186N10325,BERYL,2018-07-06 18:00:00,10.6,-47.3
2018186N10325,BERYL,2018-07-06 21:00:00,10.6,-47.8
2018186N10325,BERYL,2018-07-07 00:00:00,10.7,-48.3
2018186N10325,BERYL,2018-07-07 03:00:00,10.9,-48.8
2018186N10325,BERYL,2018-07-07 06:00:00,11.1,-49.3
2018186N10325,BERYL,2018-07-07 09:00:00,11.4,-49.8
2018186N10325,BERYL,2018-07-07 12:00:00,11.7,-50.4
2018186N10325,BERYL,2018-07-07 15:00:00,12.1,-51.2
2018186N10325,BERYL,2018-07-07 18:00:00,12.4,-52.0
2018186N10325,BERYL,2018-07-07 21:00:00,12.7,-52.8
2018186N10325,BERYL,2018-07-08 00:00:00,12.9,-53.6
2018186N10325,BERYL,2018-07-08 03:00:00,13.1,-54.4
2018186N10325,BERYL,2018-07-08 06:00:00,13.4,-55.2
2018186N10325,BERYL,2018-07-08 09:00:00,13.7,-56.0
2018186N10325,BERYL,2018-07-08 12:00:00,14.1,-56.9
2018186N10325,BERYL,2018-07-08 15:00:00,14.5,-58.0
2018186N10325,BERYL,2018-07-08 18:00:00,14.8,-59.2
2018186N10325,BERYL,2018-07-08 21:00:00,15.1,-60.3
2018186N10325,BERYL,2018-07-09 00:00:00,15.5,-61.3
2018186N10325,BERYL,2018-07-09 03:00:00,15.9,-62.3
2018186N10325,BERYL,2018-07-09 06:00:00,16.2,-63.2
2018186N10325,BERYL,2018-07-09 09:00:00,16.4,-64.3
2018186N10325,BERYL,2018-07-09 12:00:00,16.6,-65.3
2018186N10325,BERYL,2018-07-09 15:00:00,16.8,-66.2
2018186N10325,BERYL,2018-07-09 18:00:00,17.1,-67.1
2018186N10325,BERYL,2018-07-09 21:00:00,17.3,-68.0
2018186N10325,BERYL,2018-07-10 00:00:00,17.6,-68.9
2018186N10325,BERYL,2018-07-10 03:00:00,17.8,-69.8
2018186N10325,BERYL,2018-07-10 06:00:00,18.1,-70.5
2018186N10325,BERYL,2018-07-10 09:00:00,18.7,-71.1
2018186N10325,BERYL,2018-07-10 12:00:00,19.3,-71.6
2018186N10325,BERYL,2018-07-10 15:00:00,19.8,-72.0
2018186N10325,BERYL,2018-07-10 18:00:00,20.2,-72.4
2018186N10325,BERYL,2018-07-10 21:00:00,20.7,-72.7
2018186N10325,BERYL,2018-07-11 00:00:00,21.3,-73.0
2018186N10325,BERYL,2018-07-11 03:00:00,21.8,-73.3
2018186N10325,BERYL,2018-07-11 06:00:00,22.4,-73.6
2018186N10325,BERYL,2018-07-11 09:00:00,23.0,-73.7
2018186N10325,BERYL,2018-07-11 12:00:00,23.7,-73.8
2018186N10325,BERYL,2018-07-11 15:00:00,24.4,-73.8
2018186N10325,BERYL,2018-07-11 18:00:00,25.2,-73.8
2018186N10325,BERYL,2018-07-11 21:00:00,25.9,-73.7
2018186N10325,BERYL,2018-07-12 00:00:00,26.7,-73.6
2018186N10325,BERYL,2018-07-12 03:00:00,27.5,-73.4
2018186N10325,BERYL,2018-07-12 06:00:00,28.2,-73.1
2018186N10325,BERYL,2018-07-12 09:00:00,28.9,-72.8
2018186N10325,BERYL,2018-07-12 12:00:00,29.6,-72.4
2018186N10325,BERYL,2018-07-12 15:00:00,30.2,-72.0
2018186N10325,BERYL,2018-07-12 18:00:00,30.8,-71.6
2018186N10325,BERYL,2018-07-12 21:00:00,31.4,-71.1
2018186N10325,BERYL,2018-07-13 00:00:00,31.9,-70.7
2018186N10325,BERYL,2018-07-13 03:00:00,32.3,-70.4
2018186N10325,BERYL,2018-07-13 06:00:00,32.6,-70.1
2018186N10325,BERYL,2018-07-13 09:00:00,33.0,-69.8
2018186N10325,BERYL,2018-07-13 12:00:00,33.3,-69.4
2018186N10325,BERYL,2018-07-13 15:00:00,33.6,-69.0
2018186N10325,BERYL,2018-07-13 18:00:00,33.9,-68.6
2018186N10325,BERYL,2018-07-13 21:00:00,34.2,-68.3
2018186N10325,BERYL,2018-07-14 00:00:00,34.5,-68.0
2018186N10325,BERYL,2018-07-14 03:00:00,34.7,-67.7
2018186N10325,BERYL,2018-07-14 06:00:00,35.0,-67.3
2018186N10325,BERYL,2018-07-14 09:00:00,35.3,-66.7
2018186N10325,BERYL,2018-07-14 12:00:00,35.6,-66.2
2018186N10325,BERYL,2018-07-14 15:00:00,36.1,-65.8
2018186N10325,BERYL,2018-07-14 18:00:00,36.7,-65.5
2018186N10325,BERYL,2018-07-14 21:00:00,37.3,-65.5
2018186N10325,BERYL,2018-07-15 00:00:00,37.8,-65.5
2018186N10325,BERYL,2018-07-15 03:00:00,38.1,-65.5
2018186N10325,BERYL,2018-07-15 06:00:00,38.2,-65.4
2018186N10325,BERYL,2018-07-15 09:00:00,38.2,-65.3
2018186N10325,BERYL,2018-07-15 12:00:00,38.1,-65.1
2018186N10325,BERYL,2018-07-15 15:00:00,38.0,-64.8
2018186N10325,BERYL,2018-07-15 18:00:00,38.0,-64.3
2018186N10325,BERYL,2018-07-15 21:00:00,38.1,-63.7
2018186N10325,BERYL,2018-07-16 00:00:00,38.3,-63.1
2018186N10325,BERYL,2018-07-16 03:00:00,38.5,-62.5
2018186N10325,BERYL,2018-07-16 06:00:00,38.7,-61.8
2018186N10325,BERYL,2018-07-16 09:00:00,39.0,-61.0
2018186N10325,BERYL,2018-07-16 12:00:00,39.5,-60.2
2018186N10325,BERYL,2018-07-16 15:00:00,40.0,-59.3
2018186N10325,BERYL,2018-07-16 18:00:00,40.7,-58.5
2018186N10325,BERYL,2018-07-16 21:00:00,41.8,-57.8
2018186N10325,BERYL,2018-07-17 00:00:00,43.0,-57.1
2018186N10325,BERYL,2018-07-17 03:00:00,44.3,-56.4
2018186N10325,BERYL,2018-07-17 06:00:00,45.5,-55.7
2018186N31292,CHRIS,2018-07-05 06:00:00,30.7,-68.5
2018186N31292,CHRIS,2018-07-05 09:00:00,30.7,-69.1
2018186N31292,CHRIS,2018-07-05 12:00:00,30.7,-69.7
2018186N31292,CHRIS,2018-07-05 15:00:00,30.7,-70.2
2018186N31292,CHRIS,2018-07-05 18:00:00,30.8,-70.7
2018186N31292,CHRIS,2018-07-05 21:00:00,30.8,-71.2
2018186N31292,CHRIS,2018-07-06 00:00:00,30.9,-71.7
2018186N31292,CHRIS,2018-07-06 03:00:00,31.0,-72.2
2018186N31292,CHRIS,2018-07-06 06:00:00,31.2,-72.6
2018186N31292,CHRIS,2018-07-06 09:00:00,31.3,-72.9
2018186N31292,CHRIS,2018-07-06 12:00:00,31.5,-73.1
2018186N31292,CHRIS,2018-07-06 15:00:00,31.6,-73.3
2018186N31292,CHRIS,2018-07-06 18:00:00,31.8,-73.6
2018186N31292,CHRIS,2018-07-06 21:00:00,32.0,-73.9
2018186N31292,CHRIS,2018-07-07 00:00:00,32.2,-74.2
2018186N31292,CHRIS,2018-07-07 03:00:00,32.4,-74.4
2018186N31292,CHRIS,2018-07-07 06:00:00,32.6,-74.6
2018186N31292,CHRIS,2018-07-07 09:00:00,32.7,-74.8
2018186N31292,CHRIS,2018-07-07 12:00:00,32.7,-74.9
2018186N31292,CHRIS,2018-07-07 15:00:00,32.8,-75.1
2018186N31292,CHRIS,2018-07-07 18:00:00,32.8,-75.2
2018186N31292,CHRIS,2018-07-07 21:00:00,32.8,-75.3
2018186N31292,CHRIS,2018-07-08 00:00:00,32.9,-75.3
2018186N31292,CHRIS,2018-07-08 03:00:00,33.0,-75.4
2018186N31292,CHRIS,2018-07-08 06:00:00,33.1,-75.4
2018186N31292,CHRIS,2018-07-08 09:00:00,33.1,-75.2
2018186N31292,CHRIS,2018-07-08 12:00:00,33.1,-75.0
2018186N31292,CHRIS,2018-07-08 15:00:00,33.0,-74.9
2018186N31292,CHRIS,2018-07-08 18:00:00,32.8,-74.8
2018186N31292,CHRIS,2018-07-08 21:00:00,32.7,-74.7
2018186N31292,CHRIS,2018-07-09 00:00:00,32.6,-74.6
2018186N31292,CHRIS,2018-07-09 03:00:00,32.5,-74.5
2018186N31292,CHRIS,2018-07-09 06:00:00,32.4,-74.5
2018186N31292,CHRIS,2018-07-09 09:00:00,32.3,-74.6
2018186N31292,CHRIS,2018-07-09 12:00:00,32.2,-74.6
2018186N31292,CHRIS,2018-07-09 15:00:00,32.1,-74.5
2018186N31292,CHRIS,2018-07-09 18:00:00,32.1,-74.4
2018186N31292,CHRIS,2018-07-09 21:00:00,32.1,-74.3
2018186N31292,CHRIS,2018-07-10 00:00:00,32.2,-74.3
2018186N31292,CHRIS,2018-07-10 03:00:00,32.3,-74.2
2018186N31292,CHRIS,2018-07-10 06:00:00,32.4,-74.1
2018186N31292,CHRIS,2018-07-10 09:00:00,32.6,-73.8
2018186N31292,CHRIS,2018-07-10 12:00:00,32.9,-73.5
2018186N31292,CHRIS,2018-07-10 15:00:00,33.1,-73.2
2018186N31292,CHRIS,2018-07-10 18:00:00,33.4,-72.8
2018186N31292,CHRIS,2018-07-10 21:00:00,33.6,-72.4
2018186N31292,CHRIS,2018-07-11 00:00:00,33.9,-71.9
2018186N31292,CHRIS,2018-07-11 03:00:00,34.2,-71.4
2018186N31292,CHRIS,2018-07-11 06:00:00,34.6,-70.7
2018186N31292,CHRIS,2018-07-11 09:00:00,35.0,-70.0
2018186N31292,CHRIS,2018-07-11 12:00:00,35.6,-69.1
2018186N31292,CHRIS,2018-07-11 15:00:00,36.3,-68.0
2018186N31292,CHRIS,2018-07-11 18:00:00,37.0,-66.8
2018186N31292,CHRIS,2018-07-11 21:00:00,37.7,-65.6
2018186N31292,CHRIS,2018-07-12 00:00:00,38.5,-64.3
2018186N31292,CHRIS,2018-07-12 03:00:00,39.6,-63.0
2018186N31292,CHRIS,2018-07-12 06:00:00,40.9,-61.7
2018186N31292,CHRIS,2018-07-12 09:00:00,42.1,-60.5
2018186N31292,CHRIS,2018-07-12 12:00:00,43.3,-59.2
2018186N31292,CHRIS,2018-07-12 15:00:00,44.5,-57.8
2018186N31292,CHRIS,2018-07-12 18:00:00,45.7,-56.4
2018186N31292,CHRIS,2018-07-12 21:00:00,46.9,-54.9
2018186N31292,CHRIS,2018-07-13 00:00:00,48.0,-53.4
2018186N31292,CHRIS,2018-07-13 03:00:00,49.1,-51.8
2018186N31292,CHRIS,2018-07-13 06:00:00,50.0,-50.0
2018186N31292,CHRIS,2018-07-13 09:00:00,50.6,-47.7
2018186N31292,CHRIS,2018-07-13 12:00:00,51.0,-45.0
2018186N31292,CHRIS,2018-07-13 15:00:00,51.5,-42.0
2018186N31292,CHRIS,2018-07-13 18:00:00,52.0,-39.0
2018186N31292,CHRIS,2018-07-13 21:00:00,52.6,-36.2
2018186N31292,CHRIS,2018-07-14 00:00:00,53.5,-33.5
2018186N31292,CHRIS,2018-07-14 03:00:00,54.7,-30.6
2018186N31292,CHRIS,2018-07-14 06:00:00,56.0,-28.0
2018186N31292,CHRIS,2018-07-14 09:00:00,57.1,-26.3
2018186N31292,CHRIS,2018-07-14 12:00:00,58.0,-25.0
2018186N31292,CHRIS,2018-07-14 15:00:00,58.8,-23.6
2018186N31292,CHRIS,2018-07-14 18:00:00,59.5,-22.5
2018186N31292,CHRIS,2018-07-14 21:00:00,60.1,-21.6
2018186N31292,CHRIS,2018-07-15 00:00:00,60.5,-21.0
2018186N31292,CHRIS,2018-07-15 03:00:00,60.6,-20.7
2018186N31292,CHRIS,2018-07-15 06:00:00,60.6,-20.6
2018186N31292,CHRIS,2018-07-15 09:00:00,60.6,-20.5
2018186N31292,CHRIS,2018-07-15 12:00:00,60.7,-20.3
